English Term,POS Tags,Sanskrit Terms
encase,,{##}
encave,v. a.,{#kandare/kuhare/gUhati/goQuM#}
enceinte,a.,{#garBiRI/garBavatI/pUrRagarBA/sasattvA/ApannasattvA#}
enchafe,v. a.,{#tap/(tApayati/paritap/kup/(kopayati/prakup/ruz/(rozayati/bAD/bADate#}
enchain,v. a.,{#nigaqena/baDnAti/banDuM/nigaqa/nigaqayati/SfNKala/SFNKalayati#}
enchant,v. a.,{#muh/(mohayati/aBimantr/anumantr;/aBicar/harati/harttuM/ram/ramayati/hfz/harzayati/prahfz/janayati#}
enchanted,p. p.,{#hfzwamAnasaH/hftamAnasaH/paramahfzwaH/hfzwacittaH/paramAnanditaH/pulakitaH/aBimantritaH/mantramohitaH#}
enchanter,s.,{#mAyI/aBicArI/aBicAravid/mAyA/mAyAkft/mAyikaH/mohI/EndrajAlikaH/yogI/yogeSvaraH#}
enchanting,a.,{#manoharaH/paramaharzakaraH/paramAnandadaH/mohI#}
enchantingly,adv.,{#mAyayA/suramaRIyaM#}
enchantment,s.,{#mAyA/aBicAraH/vaSakriyA/yogaH/samprayogaH/aBi/mantraRaM/indrajAlaM/jAlaM/kuhakaH/mohaH/mantramohanaM/saMvadanaM/mUlakarmma/citrakarmma/kArmmaRaM/kusratiH#}
enchantress,s.,{#mAyinI/yoginI/aBicAriRI/mohinI/kuhakakArI#}
enchase,v. a.,{#Kac/Kacayati/upaskf#}
encircle,v. a.,{#parivezw/upavezw/saMvezw/parivf/parizWA/parigam/parisf/maRqala/maRqalayati/parizvaYj#}
encircled,p. p.,{#valayitaH/maRqalitaH/parimaRqalitaH/parigataH/parivezwitaH/AvftaH/vyAptaH#}
encirclet,s.,{#valayaH/maRqalaM/parimaRqalaM/cakravAlaM/parivezwanaM#}
enclose,,{##}
encomiast,s.,{#stutipAWakaH/maNgalapAWakaH/vandI/varRakaH/guRo/guRakaTakaH/guRapraSaMsakaH/guRapraSaMsAkArI/n#}
encomiastic,a.,{#praSaMsAkaraH/stutimayaH/SlAGAmayaH/vandAruH/guRaprakASakaH/kIrttipra#}
encomium,s.,{#praSaMsA/stutiH/SlAGA/guRapraSasA/guRaSlAGA/guRastutiH/stutivAkyaM/praSaMsAvAkyaM/stutivAdaH/guRotkIrttanaM/guRagAnaM/vandanA/varRanA/yaSovarRanA/stotraM/stavaH/vandipAWaH#}
encompass,v. a.,{#parivezw/saMvezw/upavezw/parigam/parizWA/paryupasTA/parisf/parI/paryyeti/i/parivA/vyAp/saMval/ruD/ruRadDi/rodDuM#}
encompassed,p. p.,{#vezwitaH/parivezwitaH/parivftaH/AvftaH/vftaH/parigataH/parItaH/aBipa/rItaH/parivItaH/parivAritaH/saMvItaH/valayitaH/saMvalitaH/vyAptaH/parikziptaH/pariplutaH/aBipariplutaH/nilInaH/guDitaH/rudDaH/parItya#}
encompassment,s.,{#parivezwanaM/vezwanaM/parivftiH/vftiH/pariveSaH/parigamaH/parisarpaH/parikriyA/vakroktiH#}
encore,s.,{#punar/punarvAre/nAwakasaNgItAdiSAlAyAM praSaMsAsUcanArTaM prekza#}
encore,v. a.,{##}
encounter,s.,{#samAgamaH/samAgatiH/saNgaH/saNgamaH/saNgataM/melanaM/melakaH/milanaM/samAsAdanaM/samAGAtaH/saMyugaH/samaraH/saNgFmaH/yudDaM/vigrahaH/samprahAraH/aBisampAtaH/samparAyaH/saNGawwaH/sammarddaH/pratiGAtaH/samPewaH#}
encounter,v. a.,{#samAgam/saNgam/mil/milati/melituM/samEti/i/Asad/aBimuKaM/gam/sammuKIBU/pratiyuD/vigrah/saNGaww/samAhan#}
encountered,p. p.,{#samAgataH/saNgataH/samupAgataH/militaH/pratimuKAgataH/aBrimuKyAgataH/AsAditaH/samAsAditaH/AkrAntaH/vigfhItaH#}
encourage,v. a.,{#ASvas/(/samASvas/viSvas/(/samutsah/pariSAntv/prahfz/(/uttij/(/anugraha/saNgrah/pradiS/(/tejaH/viSvAsaM/dA/vfD/(varDayati/(#}
encouraged,p. p.,{#ASvAsitaH/samASvAsitaH/ucCvAsitaH/protsAhitaH/uttejitaH/anugfhItaH#}
encouragement,s.,{#ASvAsanaM/samASvAsanaM/ucCvAsaH/protsAhaH/pravarttaH/prarocanaM/uttejanaM/samuttemanaM/tejovarDanaM/varDanaM/saMvarDanaM/anugrahaH/AgrahaH/saNgrahaH/grahaH/sAhAyyaM/upakAraH/anupAlanaM/AnukUlpaM/aByupapattiH/anurAgaH#}
encourager,s.,{#ASvAsakaH/protsAhakaH/pravarttakaH/anugrahItA/tf#}
encouraging,a.,{#ASvAsakaH/ASAvarDakaH/tejaskaraH/sAntvadaH/prarocanadaH#}
encroach,v. n.,{#parADikAraM/praviS/paraBUmim/Akram/aBikram/gfhlAti/grahItuM/aBigrah/gras/grasate/svIkf#}
encroacher,s.,{#parADikAragrasakaH/parADikArAkrAmakaH/svaBUmimaryyAdAtikrAmakaH/parADInadravyagrAhakaH#}
encroaching,s.,{#parADikArapraveSaH;/paraBUmyaBikramaH/svADikArAtikramaRaM/svADikArollaNGanaM/parADInadravyagrasanaM/parADipatyAkrAntiH/svADipatyAtikrAntiH#}
encrust,,{##}
encumber,v. a.,{#nyas/BAravantaM/BArAkrAntaM/uparuD/pratiruD/pratibanD/baDnAti/stamB/(stamBayati/viGna/viGnayati/Ayas/(/kliS/kliSnAti/kleSituM/fRaBAragrastaM#}
encumbered,p. p.,{#BAravAn/BArI/BArayuktaH/BArAkrAntaH/BAragrastaH/bADitaH/pratirudDaH/viGnitaH#}
encumbrance,s.,{#BAraH/DurA/bADA/pratibanDaH/pratiroDaH/uparoDaH/pratizwamBaH/vizwamBaH/pratyUhaH/antarAyaH/anubanDaH/fRaBAraH/fRaM/DAraRA#}
encyclical,a.,{#cAkrikaH/cAkreyaH/maRqalI/varttulaH/bahusADAraRapatraM#}
encyclopaedia,s.,{#vidyAcakraM/vidyAmaRqalaM/vidyAmuktAvaliH/vidyAhA/vidyAvaliH/vidyAparyyAyaH#}
end,s.,{#antaH/paryyantaM/prAntaH/samantaH/pAraH/avasAnaM/paryyavasAnaM/avasAyaH/avasAdaH/avasannatA/sAtiH/sAyaH/antaH/SezaH/paryyavaSezaH/pariRAmaH/kzayaH/gatiH/niDanaM/atyayaH/samAptiH/nizpattiH/sidDiH/nirvfttiH/nizWA/viratiH/virAmaH/avaratiH/uparatiH/nivfttiH/vinivfttiH/vicCedaH/upaSamaH/avaDiH/sImA/antaraM/pariRAmaH/antakAlaH/antaH/antakaH/niDanaM/atyayaH/apagamaH/apAyaH/maraRaM/nASaH/vinASaH/dehakzayaH/upasaMhAraH/agraM/agraBAgaH/muKaM/SiKA/SiKaraM/aRiH/antaH/PalaM/PalamuttaraM/uttaraM/pariRAmaH/arTaH/ASayaH/aBiprAyaH/tAtparyyaM/uddeSaH/aBisanDiH/kAryyaM/kAryyavastu/palayaH/kzayaH/kalpaH/kalpAntaH/saMvarttaH/upasaMyamaH;/divasAtyayaH/dinAvasAnaM;/niSAvasAnaM/kzapAtyayaH;/aYcalaH/pawAYcalaH/tarI/tariH/daSA/vastiH#}
end,v. a.,{#avaso/samAp/(/sampF/(/nivft/(/nivft/nirvft/vinivft/viram/(/viram/uparam/vyuparam/nizpad/(/sAD/(sADayati/pratiyat/anta/pAr/pArayati/tIr/tIrayati#}
end,v. n.,{#viram/uparam/vinivft/nirvft/samAp/(/nizpad/(/vigam/apayA/viCid/(/avasad/Sam/SAmyati/SamituM/antaH/paryyantaH/sAgaraparyyantaH#}
endanger,v. a.,{#saMSayasTaM/SaNkAsTaM/sandehasTaM/BayasTaM/sandehadolasTaM/saMSayApannaM/saMSayitajIvitaH#}
endear,v. a.,{#priyaM/hfdayapriyaM/dayitaM/prItaM/aBIzwaM/izwaM#}
endearing,a.,{#priyaNkaraH/priyakAraH/prItikaraH#}
endearment,s.,{#premakAraRaM/snehakAraRaM/priyatA/premahetuH/premakarmma/SfNgArakarmma/lalitaM/hAvaH/vilAsaH;/priyavAkyaM#}
endeavor,s.,{#yatnaH/prayatnaH/udyamaH/udyogaH/utsAhaH/cezwA/vyavasAyaH/aDyavasAyaH/samudyamaH/pravfttiH/AramBaH/upakramaH/AyAsaH/prayAsaH/guraRaM/vicezwitaM/utTAnaM/grahaH/vyApAraH/GawanA#}
endeavor,v. n.,{#yat/yatate/prayat/cezw/cezWate/vicezw/saYcezw/vyavamo/aDyavaso/udyam/vyAyam/Gaw/Gawate/upakram/Ayas/prayas/AraB/samAraB/vAh/vAhate/pravft#}
endeavored,p. p.,{#vyavasitaH/aDyavasAyitaH/cezwitaH/kftaprayatnaH/samudyataH/kftotsAhaH/vAhitaH#}
ended,p. p.,{#avasitaH/avasannaH/paryyavasitaH/sannaH/sitaH/nivfttaH/nirvfttaH/vfttaH/samAptaH/pariRataH/gataH/vigataH/astaNgataH/astaNgamitaH#}
ending,s.,{#antaH/SezaH/samAptiH/padAntaM#}
endict,,{##}
endive,s.,{#SAkapraBedaH#}
endless,a.,{#anantaH/atyantaH/aparyyantaH/aSezaH/niravaDiH/apAraH/nirantaraH/avirataH/anavarataH/amitaH/atidIrGaH#}
endlessly,adv.,{#atyantaM/avirataM/anrArataM/nirantaraM/aSezatas#}
endlessness,s.,{#AnantyaM/anantatA/atyantatvaM/avirAmaH/aviratiH/avicCedaH/AnantaryyaM/nityatA#}
endorse,,{##}
endow,v. a.,{#yOtukaM/SulkaM/pratizWA/(/yuj/yojayati/samAyuj/sampannaM/yuktaM/dA;/yuj/yujyate/sarvvaguRopeto'sti#}
endowed,p. p.,{#pratizWitaH/gfhItaSulkaH/yuktaH/saMyuktaH/upetaH/sampannaH/upapannaH/anvitaH/prayuktaH/SIlaH/SIlitaH/nibadDaH#}
endowment,s.,{#yOtukadAnaM/pratizWA/devasvadAnaM/agrahA/pratizWA/devasvaM/agrahAraH/nibanDaH/guRaH/SaktiH#}
endue,v. a.,{#sampannaM/yuktaM/yuj/yoja/samAyuj/dA;/sampannaH/yuj#}
endued,p. p.,{#sampaMnnaH/upetaH/yuktaH/saMyuktaH/samAyuktaH/anvitaH/ApannaH/upapannaH#}
endurance,s.,{#sahanaM/sahatvaM/sahatA/sAhanaM/sahizRutA/sahanaSIlatA/kzamA/titikzA/kzAntiH/marzaH/DEryyaM/DftiH/DIratvaM/sTEryyaM/utsAhaH;/damaH/saMsTitiH/sTitiH/sTitiH/sTAyitvaM#}
endure,v. a.,{#sah/sahate/soQuM/vipah/kzam/kzamate/kzantuM/saMkzam/tij/(titikzate/mfz/mfzyati/marzituM/marzayati/Df/DArayati/upAgam/Buj/BuMkte/BoktuM/avalamb/Sak;#}
endure,v. n.,{#sTA/tizWati/sTAtuM/cirasTAyI#}
endured,p. p.,{#soQaH/visoQaH/kzAntaH/titi/marpitaH/na sahyaH/na kzantavyaH#}
endurer,s.,{#soQA/visoQA/kzantA/sahaH#}
enduring,a.,{#sTAyI/cirasTAyI/dIrGakAlasTAyI/saMsTaH/avisargI/sahizRuH/sahanaSIlaH/titikzuH/sahanaH/kzamaH/sahaH#}
endwise,adv.,{#agre/agratas/aDyagraM/avalaBbya#}
enemy,s.,{#SatruH/ripuH/ariH/arAtiH/vipakzaH/vErI/AmatraH/pratipakzaH/apakArI/apakarttA/dvezI/dvezwA/dvezaRaH/dvizan/dviw/vidviw/vidvezI/ahitaH/viroDI/pratiroDI/sapatnaH/durhfd/aBiGAtI/pratyavasTAtA/paraH/pArakyaH/paripanTI/pratyarTI/SAtravaH/pratibanDakaH/vijigIzuH/pArzRigrAhaH;/aBUtaSatruH#}
energetic,a.,{#utsAhI/udyogI/vyavasAyI/udyamI/utsAhayuktaH/sotsAhaH/sodyogah/udyuktaH/tejovAn/tejasvI/kftaprayatnaH/prayatnavAn/sayatnaH/karmmodyuktaH/tIkzRakarmmA/karmmaSIlaH/karmmI/SaktimAn/SaktirUpaH/analasaH/atandraH/atandritaH/AlasyaSUnyaH/pragalBaH/vIryyavAn#}
energetically,adv.,{#sotsAhaM/sodyogaM/savyavasAyaM/udyamena/sayatnaM/SaktyA/prayatnatas/savIryyaM/sasattvaM/pOruzeRa#}
energy,s.,{#tejaH/vIryyaM/SaktiH/sattvaM/pramAvaH/pOruzaM/udyogaH/vyavasAyaH/udyamaH/utsAhaH/sattvotsAhaH/karmmodyogaH/sayatnatA/pravfttiH/brAhyI/maheSvarI/EndrI/vArAhI/vEzRavI/kOmArI/kOverI/cAmuRqA#}
enervate,v. a.,{#durbalIkf/SiTilIkf/tejaH/SaktiM/harati/harttuM/klIv/(klIvayati/kzIRIkf/kzIRaM/klIvIkf#}
enervated,p. p.,{#hftatejAH/kzIRavIryyaH/SiTi#}
enervation,s.,{#durbalIkaraRaM/SiTilIkaraRaM/tejoharaRaM/tejohAniH/vIryyakzayaH/SaktihAniH/klIvaBAvaH/klIvatvaM/pramIlA#}
enfeeble,v. a.,{#durbalIkf/alyabalIkf/tejaH/sattvaMhf/harati/harttuM#}
enfeebled,p. p.,{#kzIRaSaktiH/SiTilabalaH/hftatejAH/kzIRasattvaH/gatavIryyaH/sAmarTyahInaH/durbalaH/jaritaH/jarAturaH#}
enforce,v. a.,{#dfQIkf/sTirIkf/draQa/draQayati/saMstamB/sabalaM/tejaH/balena/(kArayati/pravft/(/praRI/nirvah/(/nrizpad/(/dA/(dApayati#}
enforced,,{#balena pravarttitaH/nizpAditaH/praRItaH/dfQIkftaH/sTirIkftaH/saMstabDaH/dApyaH#}
enforcement,s.,{#balAtkAraH/balena/pravarttanaM/praRayanaM/nizpAdanaM/dfQIkaraRaM/sTirIkaraRaM/saMstamBaH/draQapramARaM/dfQapramARaM/gurupramARaM#}
enfranchise,v. a.,{#dAsyAt/muYcati/moktuM/mocayati/vimuc/mokz/mokzayati/visfj/svADInIkf/svatantrIka/svavaSIkf/pradA#}
enfranchisement,s.,{#dAsyamokzaH/banDanamokzaH/vimuktiH/pOrajanADikAradAnaM/svADInIkaraRaM#}
engage,v. a.,{#vyApf/(/pravft/(/prayuj/vyApf/vft/varttate/pravft/AsTA/sev/sevate/nirataH/niyuj/viniyuj/aDikf/prakf/vf/varayati/niyamapatreRa/baDnAti/banDuM/saMyuD/Akram/ArAD/anuraYj/Akfz/anunI/paR/paRate/ADIkf#}
engage,v. n.,{#saMyuD/AraB/upakram/vyavaso/pratijYA/sampratijYA/samayAkf/aNgIkf/paR/paRate/upagam#}
engaged,p. p.,{#vyApftaH/nirataH/rataH/pravfttaH/paraH/nizWaH/nizWitaH/AsTitaH/avasTitaH/vfttaH/nivizwaH/niveSitaH/karmmanizWaH/karmmodyuktaH/kAryyavAn/kriyAvAn/karmmI/vyApArI/vyavasAyI/karmmasUdyataH/pravarttamAnaH/yogArUQaH/aDyayanarataH/aDyayanABimuKaH/DyAnaparaH/DyAnatatparaH/svaDarmme nirataH/kalahAyitaH/pratijYAtaH/saMviditaH/uzagataH/aByupagataH/aByupetaH/aNgIkftaH/prajYaptaH/kftasaNketaH/kftasamayaH/kftasambanDaH/prati/vAgdattaH/prattaH#}
engagement,s. | v. n.,{#vyApAraH/kAryyaM/karmma/pravfttiH/pravarttanaM/vfttiH/vyavasAyaH/vyavahAraH/pratijYA/saNketaH/saMvid/samayaH/niyamaH/saMskAraH/upagamaH/aByupagamaH/aByupAyaH/paRaH/paripaRanaM/vyavasTA/prajYaptiH/samADiH/samayAkf/pAlayati/Binatti/BettuM/kftapratijYaH/vAgniScayaH/vivAhapratijYA/yudDaM/raRABiyogaH/samAGAtaH/saNgrAmaH/samprahAraH/avaSyakarttavyaM#}
engaging,a.,{#manoharaH/hfdayagrAhI/hfdayakarzI/mitrayuH/mitravatsalaH/anuraYjakaH/hfdayaNgamaH/anurAgajanakaH#}
engagingly,adv.,{#manoharaM/sapraRayaM#}
engender,v. a.,{#jan/(janayati/maYjan/vijan/prasU/utpada/(/jan#}
engendered,p. p.,{#jAtaH/janitaH/upajAtaH/utpAditaH/prasUtaH/prarUQaH/udBavaH#}
engine,s.,{#yantraM/upakaraRaM/sADanaM/vilAlaH;/yudDayantraM/yudDAstraM;/agninirvApaRayantraM#}
engineer,s.,{#yantrakAraH/yantranirmmARaSilpavid/yantravid/kalAjYaH#}
engineering,s.,{#karmma/n#}
engird,v. a.,{#parivezw/maRqala/maRqala#}
england,s.,{#SvetadvIpaH#}
engorge,v. a.,{#gras/grasate/nigF#}
engrapple,v. n.,{#bAhUbAhavi/yuDyate/yodDuM#}
engrasp,v. a.,{#grah/gfhlAti/grahItuM/Df/Darati/DarttuM#}
engrave,v. a.,{#takz/takzati/takzRoti/tvakz/tvakzati/upaskf/mudrIkf/mudra/mudrayati#}
engraved,p. p.,{#tazwaH/reKAdinA mudritaH/mudrIkftaH#}
engraver,s.,{#takzakaH/tazwA/tvazwA/mudrAkaraH#}
engraving,s.,{#takzaRaM/takzaRakarmma/n/mudrA#}
engross,v. a.,{#sTUlIkf/GanIkf/sAndrIkf/niviqIkf/puz/(popayati/pyE/gfhlAti/grahItuM/pUrvvaM/grah/janayati/krIRAti/kretuM/praKyA/suvyaktAkzarEH/liKati/leKituM#}
engrossed,p. p.,{#nivizwaH/aBinivizwaH/AvizwaH/nimagnaH/AsaktacetAH/ananya/ekapravaRaH/ekAgraH/parAyaRaH/BayEkapravaRaH/pUrvvaM gfhItaH/krItaH#}
engrosser,s.,{#pUrvvakretA/sarvvaBARqakretA/pUrvvagrAhakaH/praKyAtA/suvyaktalipikAraH#}
engulph,v. a.,{#jalAvartte/grasate/upagras#}
enhance,v. a.,{#vfD/(varDayati/upaci/aDikIkf/aDikaM/gara/garayati/pracurIkf;/upacIyate#}
enhanced,p. p.,{#barDitaH/aDikIkftaH/upacitaH#}
enhancement,s.,{#vfdDiH/varDanaM/upacayaH/vivarDanaM/unnatiH/aByudayaH#}
enigma,s.,{#gUQaM/gUQavAkyaM/gUQapraSnaH/pravahliH/prahelikA/praSnadUtI/SlezaH/SlezoktiH#}
enigmatical,a.,{#gUQaH/gUQArTaH/nigUQArTaH/sandi/aspazwArTaH/dvyarTaH/durjYeyaH/boDA/gamyaH/avyAKyeyaH/vyAKyAgamyaH/vakraH#}
enigmatically,adv.,{#gUQaM/sagUQArTaM/nigUQArTatas/aspazwaM/avyaktaM/vakroktyA#}
enjoin,v. a.,{#AdiS/nirdiS/pradiS/vinirdiS/samAdiS/sandiS/vyAdiS/(/samAjYA/niyuj/viniyuj/sanniyuj/cud/codayati/pracud/saYcud/SAs/SAsti/SAsitaM/viDA#}
enjoined,p. p.,{#AdizwaH/nirdizwaH/uddizwaH/pracoditaH/saYcoditaH/vihitaH/vedavi#}
enjoy,v. a.,{#Buj/Bunakti/BuMkte/BoktuM/upaBuj/anuBuj/pariBuj/aSnute/aSnAti/aSituM/samaS/upAS;/anuBU/Asvad/AsvAd/puz/puzyati/pozwuM/ram/ramate/rantuM/aBiram/nand/nandati/aBinand/ruc/rocate/suKena/Df/DArayati/DA/Datte/DAtuM/sev/sevate#}
enjoyable,a.,{#BogyaH/upaBogyaH/suBogInaH/BogavAn/ramyaH/ramaRIyaH/suBagaH/AnandadaH/suKadaH/manoramaH/kamanIyaH/AsvAdanIyaH#}
enjoyably,adv.,{#saBogaM/sopaBogaM/ramaRIyaM/suBagaM/jozaM#}
enjoyed,p. p.,{#BuktaH/upaBuktaH/kftopaBogaH/anuBUtaH/aSitaH/AsvAdita#}
enjoyment,s.,{#BogaH/BuktiH/upaBogaH/pariBogaH/anuBavaH/AsvAdaH/PalaBogaH/suKAsvAdaH/nirveSaH/muKaM/sOKyaM/ratiH/rataM/AnandaH/AmodaH/pramodaH/santozaH/madaH#}
enkindle,v. a.,{#uddIp/(/uttap/(/uttij/(/saminD/prajval/(/saMjval/sanDukz#}
enkindled,p. p.,{#uddIptaH/samidDaH/uttejitaH/uttApitaH/santaptaH/jvalitaH/sanDukzitaH#}
enlarge,v. a.,{#vistF/(/vitan/praT/praTayati/viSAlIkf/vipulIkf/pracurIkf/prasf/vfD/(varDayati/(eDayati/ApyE/(/samApyE/sPAy/(sPAvayati/sPItIkf/nayati/netuM/vfMh/vfhayati/upavfMh#}
enlarge,v. n.,{#vfD/varDate/aBivfD/vivfD/vipulIBU/pracurIBU/pyE/pyAyate/pyAtuM/upaci/(/sPAy/sPAyate/AsPAy/vitan/(/vistF/(/eti/praruh/varR/upavarR/saMvarR/vadati/vAgvistAreRa/prapaYc#}
enlarged,p. p.,{#pravfdDaH/praTitaH/upacitaH/varDitaH/prarUQaH/SfnaH/sPItaH/sPAtaH/ApyAyitaH/vfMhitaH#}
enlargement,s.,{#vfdDiH/varDanaM/pravfdDiH/vivfdDiH/sPAtiH/sPItiH/vistAraH/ApyAyanaM/vfMhaRaM/vipulatA/viSAlatA/sPAraH/prapaYcaH/bAhulpaM#}
enlarger,s.,{#vfdDikaraH/sPIwikaraH/vistArakaH/saMvarDakaH#}
enlighten,v. a.,{#vikAS/(/prakAS/dyut/(dyotayati/pradyut/uqyut/dIp/vidIp/(/BAsa/(BAsayati/praBAs/udBAs/BrAj/vimala/vimalayati/upadiS#}
enlightened,p. p.,{#prakASitaH/pradyotitaH/uddyotitaH/dIpitaH/supraBAtaH/gfhItArTaH/prAptabudDiH/upadizwaH#}
enlist,v. a.,{#nAmAvalipatre/nAmapari/(/Aruh/aBiliK/liKa/aBiliK/(/pravft/(/(grAhayati/svapakzIkf#}
enlisted,p. p.,{#sEnyanAmAvalimaDye samAropitaH/aBiliKitaH#}
enlisting,s.,{#AropaRaM/nAmABileKanaM#}
enliven,v. a.,{#ASvas/(/samASvas/viSvas/uttij/(/dA/hfz/(harzayati/hlAd/(hlAdayati/AhlAd/ullas/(#}
enmity,s.,{#vEraM/vEritA/SatrutA/riputA/aritA/SAtravaM/vipakzatA/dvezaH/vidvezaH/viroDaH/vEraBAvaH/pratidvandvaM/pratipakzatA/vidvizwatA/aprItiH/paratA#}
ennoble,v. a.,{#pratipad/SuB/(SoBayati/samman/(#}
ennoblement,s.,{#pratipattiH/utkarzaH/padavfdDiH/kulInatA/padasamunnatiH#}
ennui,s.,{#glAniH/klAntiH/SrAntiH/vipAdaH/vizaRatA/vimarddaH#}
enormity,s.,{#atipAtakaM/atipApaM/mahApAtakaM/mahApApaM/aGorapAtakaM/atiduzwatA/aGoratA/GoratA#}
enormous,a.,{#atimAtraH/atyantaH/aparimitaH/atimahAn/ativfhan/atikAyaH/vfhatkAyaH/vfhacCarIraH/BImavigrahaH#}
enormously,adv.,{#atyantaM/atimAtraM/atiSayena/sumahat/atimahat#}
enough,adv.,{#alaM/paryyAptaM/pracuraM/pracurataraM/upayuktaM/kftaM/yaTAvat;/alantarAM;/kxp/kalpate#}
enough,a.,{#yaTezwaH/upayuktaH/ucitaH/samarTaH/paryyAptaH/pracuraH/samzUrRaH/bahulaH/tfptimAtrocitam/annaM;#}
enough,s.,{#yaTezwatvaM/paryyAptiH/prAcuryyaM/upayuktatvaM/bAhulyaM/nirvAhaH;/alaYjIvikaH#}
enquire,,{##}
enrage,v. a.,{#kup/(kopayati/prakup/(kroDayati/ruz/(rozayati/kroDaM/janayati#}
enraged,v. n.,{#kruD/kruDyati/krodDuM/saMkruD/aBisaMkruD;/kup/kupyati/kopituM/prakup/ruzpati/rozituM#}
enraged,p. p.,{#krudDaH/kupitaH/prakopitaH/prakupitaH/saMkrudDaH/kopAkulaH/ruzitaH/ruzwaH/saMrabDaH/upajAtakopaH/jAtAmarzaH/AgatamanyuH/jAtarozaH/idDamanyuH/upmAnvitaH#}
enrapture,v. a.,{#sammuh/(/parihfz;/hfzyati/harzituM/pulakitaH/muhyati/mohituM#}
enraptured,p. p.,{#harzamohitaH/sammohitaH/praharzitaH/samprahfzwaH/pulakitaH/romAYcitaH/paramAnanditaH/vismitaH/harzonmattaH#}
enravishment,s.,{#sammohaH/praharzaH/harzAveSaH/paramAnandaH/atyantAhlAdaH/vismayaH/unmadaH#}
enrich,v. a.,{#saDanaM/AQyaM/samfdDIkf/vfD/(varDayati/Dana/ApyE/(/sPAy/(sPAva/sPItIkf/saPala/saPalayati/SuB/(SoBayati/upaSuB#}
enriched,p. p.,{#saMvarDitaH/ApyAyitaH/sPItIkftaH#}
enriching,a.,{#arTakaraH/arTajanakaH/SoBakft#}
enroll,v. a.,{#nAmAvalipatre/(/Aruh/aBiliK/liK#}
enrolled,p. p.,{#nAmAvalipatre samAropitaH/aBiliKitaH/aBiliKitanAmA/AropitanAmA#}
enroller,s.,{#nAmaleKakaH/nAmABileKakaH/nAmasamAropakaH/nAmAropakaH#}
enrolment,s.,{#nAmABileKanaM/nAmasamAropaRaM/nAmAropaRaM/nAmaliKanaM/nAmaleKanaM#}
ens,s.,{#BUtaM/aDiBUtaM/sattvaM/BAvaH/sattA/samBavaH#}
ensample,,{##}
ensanguine,v. a.,{#raktena/limpati/leptuM/raktAktaM#}
ensconce,v. a.,{#Cad/CAdayati/saMCad/praCad/rakz/rakzati/gup/gopAyati/goptuM/aBigup/guh/gUhati/ASri/samASri/saMSri/guh#}
ensconced,p. p.,{#samASritaH/guptaH/pracCanne sTApitaH#}
ensear,v. a.,{#dah/(dAhayati/arpayati#}
enshield,v. a.,{#oCad (/gup/gopAyati/goptuM#}
enshrine,v. a.,{#sugahanaBARqe/supratizWi/rakz/rakzati#}
enshrined,p. p.,{#supratizWitaBARqe/sugahanADAre rakzitaH#}
ensiform,a.,{#asyAkAraH/KaNgAkftiH/KaNgAkAraH#}
ensign,s.,{#patAkA/DvajaH/DvajapawaH/ketanaM/ketuH/vEjayantI./ketuvasanaH/jayantaH/kadalI/ucCUlaH/cihaM/liNga/DvajaH/vyaYjanaM/lakzaRaM#}
ensign-bearer,s.,{#DvajI/DvajavAn/patAkI/vEjayantikaH/DvajaDArI/patAkADArI/patAkAvAhakaH#}
enslave,v. a.,{#dAsIkf/vaSIkf/karadIkf/dAsa/dAsayati/dAsye/(gamayati#}
enslaved,p. p.,{#dAsIkftaH/dAsyaM gamitaH/dAsyagataH#}
enslavement,s.,{#dAsyaM/dAsatvaM/dAsaBAvaH/paraprepyatvaM/banDanaM#}
ensnare,,{##}
ensue,v. n.,{#anuvft/pravft/anusf/utpad/(/jan/anvi/anveti/i/anuyA/upasTA/anuzWA/samBU/praBU/udBU#}
ensued,p. p.,{#utpannaH/pravfttaH/vfttaH/jAtaH#}
ensuing,a.,{#AgAmI/BAvI/uttarakA./lInaH/anuvarttI/anAgataH/AgAmivatsare#}
ensure,,{##}
entablature,s.,{##}
entail,s.,{#kramAgatarikTaM/kramAyA/tarikTaM/kramAgamaviDiH/anvayAgamaviDiH/badDatvaM/niyuktatA#}
entail,v. a.,{#rikTaM/sTAvaraDanAdi viSezakramAgamA/rikTADikAritvaM viSe/banD/baDnAti/banDuM/Avah/utpad/(/jan/(janayati#}
entangle,v. a.,{#saMSliz/(/ASliz/pari/SlizwIkf/saMlaMgnIkf/granT/granTati/granTilIkf/saNkulIkf/AkulIkf/AkuYc/vyAvft/(/saNkIrRIkf/sambanD/sammiSr/jaw/Jaw/jawati/Jawati/udgranT/samudgranT#}
entangled,p. p.,{#SlizwaH/ASlizWaH/saMSlizwaH/pariSlizwaH/parilagnaH/saktaH/sambadDaH/saNkIrRaH/granTilaH/AkuYcitaH/dantaSlizwaH/dantasaktaH/viwapaparilagnaH/jawA/juwakaM/jUwaH;/jawAvAn/jawilaH/jAlabadDaH#}
entanglement,s.,{#ASlazwatA/saMlagnatA/granTilatvaM/jawilatvaM/saNkulatA/saNkIrRatvaM/saNkaraH/saNkaryyaM/vyAkulatvaM#}
