English Term,POS Tags,Sanskrit Terms
abscond,v. n.,{#gUhati/goQuM/niguh; guptaH/pracCannaH/antarDA/palAy/palAyate/nizpat/vyapasfp#}
absence,s.,{#aBAvaH/parokzaM/anupasTitiH/anupasTAnaM/avizayaH/asanniDiH/virahaH/viyogaH/amanoyogaH/anyamAnasatvaM/samADiH/parokze#}
absent,a.,{#avarttamAnaH/avidyamAnaH/parokzaH/sTAnAntaraNgataH/anupasTitaH/anupasTAyI/asamakzaH/apratyakzaH/prozitaH/samAhitaH/anyamAnasaH/SUnyahfdayaH#}
absent,v. n.,{#anyatra/sTAnAntare/varttate/varttituM/as/asti#}
absentee,s.,{#prozitaH/pravAsI/adeSasTaH#}
absolute,a.,{#sampUrRaH/samAptaH/samagraH/paryyAptaH/mAtrakaH/kevalaH/paramaH/uttamaH/aDirAjaH#}
absolutely,adv.,{#sarvvaSas/kevalaM#}
absolution,s.,{#pApamocanaM/pApakzamA/nizkftiH/kzamA/muktiH#}
absolve,v. a.,{#muYcati/moktuM/vimuc/(mocayati/kzamate/kzantuM#}
absolved,p. p.,{#pApamuktaH#}
absorb,v. a.,{#nipA/(Sozayati/ucCuz/grasate/grasituM/upagras#}
absorbed,p. p.,{#nirataH/nivizwaH/parAyaRaH/AsaktaH/samAhitaH/ekAgraH/nipItaH/grastaH#}
absorption,,{#nipAnaM/SozaRaM/grasanaM#}
abstain,v. n.,{#nivft/(varjayati/parivfj/vivfj#}
abstemious,a.,{#alpAhArI/aBojI/mitASanaH/mitaBuk/parimitAhAraH/niyatA/hAraH/yatAhAraH/laDvASI/laDvAhAraH#}
abstemiousness,s.,{#AhAraparityAgaH/alpAhAritvaM#}
abstinence,s.,{#upavAsaH/aBojanaM/jitendriyatvaM/saMyamanaM/saMyAmaH/nivfttiH/kzAntiH#}
abstinent,a.,{#jitendriyaH/nivfttarAgaH/saMyamI/saMyatAtmA/upavAsI#}
abstract,v. a.,{#apahf/apAkfz/avakfz/upAdA/aByAdA/saNkzip/saMhf#}
abstract,a.,{#viBinnaH/viyuktaH/viviktaH/pfTakkftaH/kevalaH/vizayaviviktaH/vizayApakfzwaH/AnvIkzikaH/samAhitaH/ananyamanAH#}
abstract,s.,{#saNgrahaH/pratyAhAraH/saNkzepaH/sAraH/vastu/vastumAtraM/BAvavAcakaH#}
abstractedly,adv.,{#viviktaM/viviktaprakAreRa/kevalaM/mAtraM#}
abstraction,s.,{#pratyAhAraH/upAdAnaM/vivekaH/viBedaH/pArTakyaM/pfTakkaraRaM/vizayaviviktatvaM/samADiH/ekAgratA#}
abstruse,a.,{#gUQaH/guptaH/pracCannaH/nigUQaH/nigUQArTaH/durjYeyaH/boDAgamyaH/kaWinaH#}
absurd,a.,{#anarTakaH/nyAyavirudDaH/vicAravirudDaH/anyAyI#}
absurdity,s.,{#mfzArTakaM/anarTakaM/SaSavizARaM/SaSaSfNgaM/gaganakusumaM/gaganapuzpaM#}
absurdness,s.,{#AnarTakyaM/anyAyatvaM/ayATArTyaM#}
absurdly,adv.,{#anyAyatas/AnarTakyena/avicAreRa#}
abundance,s.,{#bAhulyaM/bahutvaM/pracuratvaM#}
abundant,a.,{#bahuH/bahulaH/pracuraH/BUriH/vipulaH/samaDikaH#}
abundantly,adv.,{#bahuSas/BUriSas/BUyas/anekaSas#}
abuse,v. a.,{#vfTA/mfzA/(/kadarTIkf/vyarTIkf/vfTAkf/kuts/kutsayati/aBikuts/Akzip/parikzip/AkruS/kroSati/samAkruS/tiraskf/apavad/avagur/gurate/Sap/Sapati/Sapyati/SaptuM/aBiSap/(/muKarIkf/atibrU/pratyAkruS#}
