Entry No,Word Info,Definition,Transliteration
113,"Adage,",{%s.%},"sUtraM, vacanaM, vAkyaM, ABARakaH"
114,"Adamant,",{%s.%},vajraH-jraM
115,"Adapt,",{%v. t.%},yuj
116,"Add,",{%v. t.%},saMkal
117,"Addict,",{%v. t.%} (oneself),A-ni-sev
118,"Addle,",{%a.%},"asaMpUrRa, nazwa, duzwa;"
119,"Address,",{%v. t.%},AmaMtr
120,"Adduce,","{%v. t.%} (proof, witness &c.)",nirdiS
121,"Adept,",{%a.%},"nipuRa, kuSala, pravIRa, aBijYa"
122,"Adequate,",{%a.%},"paryApta, samarTa, kzama, tulya"
123,"Adhere,",{%v. i.%},saMj
124,"Adieu,",{%adv.%},svasti
125,"Adjacent,",{%a.%},"Asanna, samIpa, samIpavartin,"
126,"Adjective,",{%s.%},viSezaRaM
127,"Adjoin,",{%v. t.%},lag
128,"Adjourn,",{%v. t.%},vyAkzip
129,"Adjudge,",{%v. t.%},dA
130,"Adjudicate,",{%v. t.%},nirRI
131,"Adjunct,",{%a.%},"saMyukta, sahita"
132,"Adjure,",{%v. t.%},saSapaTaM samAdiS
133,"Adjust,",{%v. t.%},samIkf
134,"Adjutant,",{%s.%},"sahAyaH, sahakArin"
135,"Admeasure,",{%v. t. See%} ‘{@Measure@}’.,
136,"Administer,",{%v. t.%},praSAs
137,"Admiral,",{%s.%},nOsADanADyakzaH
138,"Admire,",{%v. t.%},praSaMs
139,"Admit,",{%v. t.%},praviS
140,"Admix,",{%v. t.%},saMmiSr
141,"Admonish,",{%v. t.%},upadiS
142,"Ado,",{%s.%},"SramaH, dIrGAyAsaH"
143,"Adolescence,",{%s.%},"yOvanadaSA, yOvanaM"
144,"Adopt,",{%v. t.%},parigrah
145,"Adore,",{%v. t.%},ArAD
146,"Adorn,",{%v. t.%},"vi-, BUz"
147,"Adrift,",{%adv.%},itastataH plavamAna
148,"Adroit,",{%a.%},"nipuRa, dakza, DUrta, catura"
149,"Adry,",{%a. See%} ‘Thirsty’.,
150,"Adulate,",{%v. t%},SlAG
151,"Adult,",{%s.%},"prOQaH, prAptayOvanaH, prAptavyavahAradaSaH,"
152,"Adulterate,",{%v. t.%},apadravyeRa saMmiSr
153,"Adultery,",{%s.%},"vyaBicAraH; pAradAryaM, paraBAryA-"
154,"Adumbrate,",{%v. t.%},pAMquleKyaM-praticCAyAM-
155,"Adust,",{%a.%},"dagDa, BasmI-BUta"
156,"Advance,",{%v. i.%},pra-ut-cal
157,"Advantage,",{%s.%},"lABaH, hitaM, guRaH, PalaM, arTaH"
158,"Advent,",{%s.%},"AgamanaM, pravftti"
159,"Adventure,",{%s.%},"sAhasaM, adButaM karma"
160,"Adverb,",{%s.%},"kriyAviSezaRaM, avyayaM"
161,"Adverse,",{%a.%},"pratikUla, vipakza, vErin, viparIta,"
162,Advert,(to). {%v. i.%},udAhf
163,"Advertise,",{%v. t.%},vijYA
164,"Advise,",{%v. t.%},upadiS
165,"Advocate,",{%v. t.%},parArTaM vad
166,"Adze,",{%s.%},"kuMWArikA, takzaRI"
167,"Aerial,",{%a. See%} under {@Air.@},
168,"Aeroplane,",{%s.%},"AkASayAnaM, vimAnaM"
169,"Aery,",{%a.%},ADyAtmika
170,"Afar,",{%adv.%},"dUrAt, ArAt; dUre-raM;"
171,"Affable,",{%a.%},"sujana, suSIla"
172,"Affair,",{%s%},"kAryaM, vyApAraH, karman"
173,"Affect,",{%v. t.%} (To act upon),aBiBU
174,"Affiance,",{%v. t.%},pratiSru
175,"Affidavit,",{%s.%},"SapaTapatraM, saSapaTaM liKito"
176,"Affiliate,",{%v. t.%},saMSliz
177,"Affinity,",{%s.%},"saMbaMDaH, saMparkaH, yogaH"
178,"Affirm,",{%v. t.%},pratijYA
179,"Affix,",{%s.%},AgamaH
180,"Afflict,",{%v. t.%},kliS
181,"Affluence,",{%s.%},samfdDi
182,"Afford,",{%v. t.%},dA
183,"Affray,",{%s.%},"kalahaH, dvaMdvaM, yudDaM"
184,"Affright,",{%v. t.%},saMtras
185,"Affront,",{%s.%},"avajYA, nikfti"
186,"Affusion,",{%s.%},AsekaH
187,"Afire, Aflame,",{%a.%},dahyamAna
188,"Afloat,",{%a.%},plavamAna;
