Entry No,Word Info,Definition,Transliteration
2273,"Correct,",{%v. t.%},vi-pari-saM-SuD
2274,"Correlation,",{%s.%},"parasparasaMbaMDaH, anyonyAnvayaH,"
2275,"Correspond,",{%v. i.%} (with),patreRa saMvAdaM kf
2276,"Corridor,",{%s.%},gUQa-Canna-paTaH
2277,"Corrigendum,",{%s.%},SudDipatraM
2278,"Corrival,",{%s.%},"pratipakzaH, pratisparDin"
2279,"Corroborate,",{%v. t.%},dfQIkf
2280,"Corrode,",{%v. t.%},kzi
2281,"Corrugate,",{%v. t.%} (,tvacaM-carma
2282,"Corrupt,",{%v. t.%},dUz
2283,"Corsair,",{%s.%},samuMdrayidasyuH
2284,"Corse,",{%s. See%} {@Corpse.@},
2285,"Corset,",{%s.%},"colaH-lI, kUrpAsakaH, kaMcukaH"
2286,"Corslet,",{%s.%},"vakzastrARaM, kavacaH-caM"
2287,"Cortege,",{%s.%},parivAraH
2288,"Cortical,",{%a.%},tvaNmaya
2289,"Coruscate,",{%v. i.%},sPur
2290,"Cosine,",{%s.%},jyA
2291,"Cosmetic,",{%a.%},"kAMtivarDaka, SoBAjanana"
2292,"Cosmical,",{%a.%},jagatsaMbaMDin
2293,"Cosmogony,",{%s.%},viSvotpatti
2294,"Cosmography,",{%s.%},jagadvivaraRaM-varRanaM
2295,"Cosmopolite,","{@-politan,@} {%s.%}","viSvasTAmayin,"
2296,"Cosmos,",{%s.%},jagat
2297,"Cost,",{%s.%},"mUlyaM, arGaH, arhA"
2298,"Costermonger,",{%s.%},Palavikretf
2299,"Costive,",{%a.%},"AnadDa, badDakozWa, avarudDamala,"
2300,"Costume,",{%s.%},"veSaH, nepaTyaM;"
2301,"Cosufferer,",{%s.%},"samaduHKaH, samaduHKaBAj"
2302,"Cosy,",{%a.%},"suKAvaha, hitakara, susTita"
2303,"Cot,",{%s.%},"KawvA, maMcaH, paryaMkaH"
2304,"Cote,",{%s.%},"vrajaH, SAlA"
2305,"Coterie,",{%s.%},ekavizayajanasaMsargaH-gaRaH
2306,"Cotquean,",{%e.%},strIkarmavyApftaH
2307,"Cottage,",{%s.%},"uwajaH-jaM, parRakuwi-wI"
2308,"Cotton,",{%s.%},"kArpAsaH, tUlaH, picuH, piculaH"
2309,"Couch,",{%s.%},"SayanaM, SayyA, paryaMkaH, KawvA, maMcaH;"
2310,"Cough,",{%s.%},"kAsaH, kASaH, utkAsaH, kzavaTuH;"
2311,"Coulter,",{%s.%},"PAladaMtaH, kfMtatraM"
2312,"Council,",{%s.%},"saBA, saMsad"
2313,"Counsel,",{%s.%},"maMtraRA, vicAraH-raRA, vivecanaM,"
2314,"Count,",{%v. t.%},gaR
2315,"Countenance,",{%s.%},"muKaM, AnanaM, vadanaM, AsyaM,"
2316,"Counter,",{%s.%},gaRanAPalakaH
2317,"Counteract,",{%v. t.%},moGI-nizPalI-kf
2318,"Counterbalance,",{%v. t.%},tulayA Df
2319,"Counterblast,",{%s.%},"viroDaH, pratiroDaH"
2320,"Counterbuff,",{%v. t.%},prati-aBi-han
2321,"Counterchange,",{%v. t.%},parasparaM parivft
2322,"Countercheck,",{%s.%},"pratibaMDaH, pratiroDaH"
2323,"Countercurrent,",{%s.%},pratipravAhaH-srotas
2324,"Counterevidence,",{%s.%},"virudDasAkzyaM, prati-"
2325,"Counterfeit,",{%a.%},"kftrima, kftaka, kapawin,"
2326,"Countermand,",{%v. t.%},pratyAdiS
2327,"Countermarch,",{%v. i.%},pratiyA
2328,"Countermark,",{%s.%},"pratilakzaRaM, praticihnaM"
2329,"Countermine,",{%s.%},pratisuraMgA
2330,"Counterpane,",{%s.%},"SayanAstaraRaM, SayyApracCadaH"
2331,"Counterpart,",{%s.%},"pratirUpaM, pratimA, pratibiMbaM,"
2332,"Counterples,",{%s.%},pratyuttaraM; pratyaBiyogaH
2333,"Counterpoise,","{@Countervail,@} {%v. t. See%}
{@Counterbalance.@} {%-s.%}","tulyaBAratA,"
2334,"Country,",{%s.%},"pra-, deSaH, vizayaH, rAzwraM; diS"
2335,"County,",{%s.%},"deSaBAgaH, maMqalaM, cakraM"
2336,"Couple,",{%s.%},"yugmaM, yugalaM, yamakaM, yugaM, dvayaM, dvi-"
2337,"Couplet,",{%s.%},SlokaH; paMktidvayaM;
2338,"Courage,",{%s.%},"DEryaM, SOryaM, vikramaH, parAkramaH,"
2339,"Courier,",{%s.%},"vArtAharaH; dUtaH, vEvaDikaH"
2340,"Course,",{%s.%},gati
2341,"Court,",{%s.%},"catvaraH-raM, aMganaM-RaM, prAMgaRaM, ajiraM"
2342,"Courtezan,",{%s.%},"gaRikA, veSyA, paRyastrI, pa-"
2343,"Cousin,",{%s.%},pitfvyaputraH
2344,"Cove,",{%s.%},"vaMkaH, KAtaM"
2345,"Covenant,",{%s.%},"samayaH, niyamaH, saMvid"
2346,"Cover,",{%v. t.%},pra-samA-A-cCad
2347,"Covert,",{%a.%},"gUQa, pracCanna, gupta;"
2348,"Covet,",{%v. t.%},luB
2349,"Covey,",{%s.%},pakzigaRaH; SAvakasamUhaH
2350,"Covin,",{%s.%},kUwasamayaH-saMvid
2351,"Cow,",{%s.%},go
2352,"Coward,",{%s.%},"kApuruzaH, BIruH, aSUraH, kAtaraH,"
2353,"Cower,",{%v. i.%},avanatakAya-praRataSarIra
2354,"Cowl,",{%s.%},PaRAkfti SirovezwanaM
2355,"Cowrie,",{%s.%},"kAkinI-RI, kapardikA, varAwakaH"
2356,"Coxcomb,",{%s.%},daMBin
2357,"Coy,",{%a.%},"apragalBa, salajja, lajjAvat, vinIta,"
2358,"Cozen,",{%v. t.%},vaMc
2359,"Crab,",{%s.%},"kulIraH, karkawaH-wakaH"
2360,"Crabbed,",{%a.%},"karkaSa, paruza, nizWura"
2361,"Crack,",{%v. t.%},BaMj
2362,"Crackle,",{%v. i.%},svan-raw
2363,"Cradle,",{%s.%},"dolA, preMKA, preMKolanaM;"
2364,"Craft,",{%s.%},"kalA, Silpa; kOSalaM"
2365,"Crag,",{%s.%},"SfMgaM, kUwaH-waM, SiKaraH-raM"
2366,"Cram,",{%v. t.%},prakzip
2367,"Cramp,",{%v. t.%},saMkuc
2368,"Crane,",{%s.%},"bakaH, kahvaH, sArasaH; balAkA, bisa-"
2369,"Cranium,",{%See%} {@Skull.@},
2370,"Crank,",{%s.%},vakramArgaH
2371,"Cranny,",{%s.%},"CidraM, raMDraM, saMDiH"
2372,"Crash,",{%s.%},"mahASabdaH, mahAninAdaH, kolAhalaH,"
2373,"Crass,",{%a.%},"sTUla, Gana, asUkzma"
2374,"Cratch,",{%s.%},"gavAdanI, droRi-RI"
2375,"Crater,",{%s.%},AgneyagirimuKaM
2376,"Craunch,",{%v. t.%},carv
2377,"Cravat,",{%s.%},"grEveyakaM, grIvAvezwanaM"
2378,"Crave,",{%v. t.%} (,savinayaM
2379,"Craven,",{%s.%} (c. hearted),"kApuruzaH, BIruH;"
2380,"Craw,",{%s.%},"pakzijaWaraH, pakvASayaH"
2381,"Crawl,",{%v. i.%},sfp
2382,"Crayon,",{%s.%},"vartikA, tUlikA"
2383,"Craze,",{%v. t.%},BaMj
2384,"Creak,",{%v. i.%},karkaSaSabdaM kf
2385,"Cream,",{%s.%},"SaraH, kzIrajaM, SArkaraH-rakaH, kzIra-"
2386,"Crease,",{%s.%},vali
2387,"Create,",{%v. t.%},sfj
2388,"Credence,",{%s.%},"viSvAsaH, pratyayaH, pramARaM;"
2389,"Credentials,",{%s.%},"viSvAsapatraM, pratyayapatraM"
2390,"Credible,",{%a.%},"viSvasanIya, SradDeya, viSvAsya,"
2391,"Credit,",{%s.%},"viSvAsaH, pratyayaH, viSraMBaH;"
2392,"Credulous,",{%a.%},"SradDAlu, viSvAsaSIla, viSvA-"
2393,"Creed,",{%s.%},DarmaH
2394,"Creek,",{%s.%},"vaMkaH, vakraM, KAtaM"
2395,"Creep,",{%v. i.%},sfp
2396,"Cremate,","{%v. t. See%} {@Burn. -tion,@} {%s.%}","dAhaH, dahanaM"
2397,"Crepitate,",{%See%} {@Crack.@},
2398,"Crepuscle, -scular,",{%See%} {@Evening.@},
2399,"Crescent,",{%s.%},"arDacaMdraH, arDeMduH, caMdrArDaM"
2400,"Cresset,",{%s.%},AkASadIpaH
2401,"Crest,",{%s.%},"cUqA, SiKA, SeKaraH, mOliH; mukuwaM,"
2402,"Cretaceous,",{%a.%},"kaWinIsaMsfzwa, kaWinIDarman"
2403,"Crevice,",{%s.%},"raMDraM, CidraM, vivaraM, bilaM, saMDiH,"
2404,"Crew,",{%s.%},"nAvikAH, potavAhAH"
2405,"Crib,",{%s.%},"gavAdanI, droRi-RI"
2406,"Cribble,",{%s.%},"cAlanI, SoDanI, titau"
2407,"Crick,",{%s.%},karkaSaSabdaH
2408,"Cricket,",{%s.%},"JillikA, BfMgArI, JIrukA, cIrI"
2409,"Crime,",{%s.%},"aparADaH, pApaM, dozaH, pAtakaM, pApa-"
2410,Crimp.,{%a.%},"BaMgura, Bidura"
2411,"Crimsen,",{%a.%},"SoRa, rakta, aruRa, lohita"
2412,"Crincum,",{%s.%},vali
2413,"Cringe,",{%v. i.%},aMjaliM baMD
2414,"Crinigerous,","{%a.%} {@romavat, romopama.@}",
2415,"Crinkle,",{%s.%},vali
2416,"Cripple,",{%a.%} or {%s.%},paMgu
2417,"Crisis,",{%s.%},"saMkawaM, saMkawavelA, saMdehasamayaH"
2418,"Crisp,",{%a.%},"AkuMcita, baMDura, BaMgavat"
2419,"Criterion,",{%s.%},"lakzaRaM, cihnaM, liMgaM, saMjYA"
2420,"Critic,",{%s.%},"guRadozavicArakaH-nirUpakaH, guRA-"
2421,"Croak,",{%v. i.%},Araw
2422,"Croceous,",{%a.%},"kuMkumAkta, gOra"
2423,"Crock,",{%s.%},"kiwwaM, kajjalaM"
2424,"Crocodile,",{%s.%},"nakraH, kuMBIraH, makaraH, grAhaH,"
2425,"Croft,",{%s.%},"vAwikA; vAwaH, vftti"
2426,"Crone,",{%s.%},"sTavirA, jaratI, vfdDA, jaraWA"
2427,"Crony,",{%s.%},"ciramitraM, priyamitraM-suhfd"
2428,"Crook,",{%s.%},daMqaH; kuMcitAgrayazwi
2429,"Crop,",{%s.%},"SasyaM, SasyasaMgrahaH, kfziPalaM;"
2430,"Crore,",{%s.%},kowi-wI
2431,"Cross,",{%v. t.%},tF
2432,"Crotch,",{%s.%},"aMkuSaH, AkarzaRI, baqiSaH"
2433,"Crotchet,",{%s.%},"kAmacAraH, laharI, manolOlyaM,"
2434,"Crouch,",{%v. i.%},pat
2435,"Crow,",{%s.%},"kAkaH, vAyasaH, DvAMkzaH, mOkuliH;"
2436,"Crowd,",{%s.%},"samUhaH, saMGaH, vfMdaM, gaRaH;"
2437,"Crown,",{%s.%},"mukuwaM, kirIwaH-waM"
2438,"Crucial,",{%a.%},"sUkzma, nipuRa"
2439,"Crucible,",{%s.%},"mu(mU)zA-zI, tEjasAvartanI"
2440,"Crude,",{%a.%},"apakva, apariRata, asidDa, asaMskfta,"
2441,Cruel.,{%a.%},"nfSaMsa, krUra, nizWura, nizkaruRa,"
2442,"Cruise,",{%s.%},"samudre pariBramaRaM, paryawanaM"
2443,"Crum, Crumb,",{%s.%},"KaMqaH, lavaH, SakalaH-laM"
2444,"Crumble,",{%v. i.%},cUrRIBU
2445,"Crump,",{%a.%},"kubja, nyubja, vakra"
2446,"Crumple,",{%v. t.%},saMkuc
2447,"Crunch,",{%v. t.%},daMtErnizpiz
2448,"Crupper,",{%s.%},pucCabaMDaH
2449,"Cruse,",{%s.%},mfdBAMqaM
2450,"Cruset,",{%s. See%} {@Crucible.@},
2451,"Crush,",{%v. t.%},saMmfd
2452,"Crust,",{%s.%},tvac
2453,"Crutch,",{%s.%},avalaMbanArTaM daMqaH; ADAradaMqaH
2454,"Cry,",{%v. i.%},Suc
2455,"Crypt,",{%s.%},guhAgfhaM
2456,"Crystal,",{%s.%},"sPawikaH, sitopalaH, sitamaRiH,"
2457,"Cub,",{%s.%},"SAvaH-vakaH, potaH, kalaBaH, vatsaH, SiSuH,"
2458,"Cube,",{%s.%},GanaH;
2459,"Cubit,",{%s.%},"hastaH, kizkuH; aratni"
2460,"Cuckold,",{%s.%},baMDakIBAryaH; jAriRIpatiH
2461,"Cuckoo,",{%s.%},"kokilaH, pikaH, paraBftaH, puMsko-"
2462,"Cucumber,",{%s.%},"carmawikA, carmawaH, karkawI,"
2463,"Cud,",{%s.%},"carvyaH, AhAraH"
2464,"Cuddle,",{%v. i.%},aMke-nikawe svap
2465,"Cudgel,",{%s.%},"laguqaH, yazwi"
2466,"Cue,",{%s.%},"saMjYA, iMgitaM, sUcanA; sUtraM"
2467,"Cuff,",{%s.%},"muzwiprahAraH, muzwyAGAtaH"
2468,"Cuirass,",{%s.%},"kavacaH-caM, urastrARaM"
2469,"Cuish,",{%s.%},"UruvARaM, Uruvarman"
2470,"Cuisine,",{%s.%},"pAkaSAlA, pAkapadDati"
2471,"Culinary,",{%a.%},pAka
2472,"Cull,",{%v. t.%},udhf
2473,"Cullion,",{%s.%},"jAlmaH, DUrtaH, SaWaH"
2474,"Cully,",{%s.%},vESyAjitaH; suKapratAryaH
2475,"Culm,",{%s.%},"nAlaM, kAMqaM"
2476,"Culminate,",{%v. i.%},uccasTAnaM prAp
2477,"Culpable,",{%a.%},"sadoza, sAparADa, niMdArha, do-"
2478,"Culprit,",{%s. See%} {@Criminal.@},
2479,Cult.,{%s. See%} {@Creed.@},
2480,"Cultivate,",{%v. t.%},kfz
2481,"Culver,",{%See%} {@Dove.@},
2482,"Culvert,",{%s.%},pracCannaH jala-pravAhaH-nirgamaH
2483,"Cumber,",{%v. t.%},bAD
2484,"Cumin,",{%s.%},"jIrakaH, jaraRaH, kaRA, ajAjI;"
2485,"Cumulate,",{%See%} {@Accumulate.@},
2486,"Cunning,",{%a.%},"vidagDa, DUrta, catura"
2487,"Cup,",{%s.%},"pAtraM, cazakaH-kaM, BAjanaM, kAcapAtraM"
2488,"Cupid,",{%s.%},"madanaH, smaraH, kAmaH, anaMgaH, kaMdarpaH,"
2489,"Cupola,",{%s.%},"toraRaSfMgaM, prAsAdaSIrzaM"
2490,"Cur,",{%s.%},SunakaH;
2491,"Curate,",{%s.%},"upayojakaH, purohitapratiniDiH"
2492,"Curator,",{%s.%},"avekzakaH, aDikArin"
2493,"Curb,",{%v. t.%},Avf
2494,"Curd,",{%v. i.%},"daDirUpeRa GanIBU, SyE"
2495,"Curdle,","{%v. i. See%} {@Curd, -ed,@} {%See%}
{@Curdy.@}",
2496,"Cure,",{%v. t.%} (disease),kit
2497,"Curiosity,",{%s.%},"kutUhalaM, kOtUhalaM, jijYAsA,"
2498,"Curl,",{%s.%},"cUrRakuMtalaH, alakaH, kuralaH;"
2499,"Curmudgeon,",{%See%} {@Miser.@},
2500,"Currant,",{%s.%},SuzkadrAkzaM
2501,"Current,",{%a.%},"pracalita, pracala, sarvasaMmata;"
2502,"Curriculum,",{%s.%},aDyayanakramaH-mArgaH
2503,"Currier,",{%s.%},"carmakAraH, pAdUkft"
2504,"Curry,",{%v. t.%} (favour),aticAwUktyA prasAdaM
2505,"Curse,",{%v. t.%},Sap
2506,"Cursory,",{%a.%},"kzipra, asUkzma, tvarita, anipuRa,"
2507,"Curt,",{%a.%},"-hrasva, saMkzipta"
2508,"Curtail,",{%v. t.%},hras
2509,Curtain,{%s.%},"ja(ya)vanikA, tiraskariRI,"
2510,Curtsy,"{%See%} {@Courtesy@} under
{@Court.@}",
2511,Curtsey,"{%See%} {@Courtesy@} under
{@Court.@}",
2512,"Curve,",{%v. t.%},nam
2513,"Curvet,",{%v. i.%},plu
2514,"Cushion,",{%s.%},"upaDAnaM, upabarhaH, pIWopaDAnaM"
2515,"Cusp,",{%s.%},"arDeMduSiKA, arDacaMdrAgraM"
2516,"Custody,",{%s.%},"rakzA, avekzaRaM, rakzaRaM, pAlanaM,"
2517,"Custom,",{%s.%},"AcAraH, saMpradAyaH, vyavahAraH,"
2518,"Cut,",{%v. t.%},lU
2519,"Cutaneous,",{%a.%},tvAca
2520,"Cuticle,",{%s.%},bAhyatvac
2521,"Cutlass,",{%s.%},"KaNgaH, kfpARI"
2522,"Cutler,",{%s.%},"CurikAkAraH, SastrakAraH"
2523,"Cycle,",{%s.%},"cakraM, A-pari-vftti"
2524,"Cyclone,",{%s.%},"cakravAtaH, vAtAvartaH"
2525,"Cyclope(œ)dia,:","{%s. See%} {@Encyclop-@}
{@-edia.@}",
2526,"Cygnet,",{%s.%},"haMsaSAvakaH, bAlahaMsaH"
2527,"Cylinder,",{%s.%},"golaH, vartulaM"
2528,"Cymbal,",{%s.%},"JallakaM, JallarI"
2529,"Cynic,",{%s.%},manuzyadvezin
2530,"Cynosure,",{%s.%},DruvaH; jyotIraTaH
2531,"D.}


<L>2531<pc>091<k1>dab<k2>dab
{Dab,",{%v. t.%},siktadravyeRa laGu taq
2532,"Dabble,",{%v. t.%},sic
2533,"Dacoit,",{%s.%},dasyu
2534,"Dagger,",{%s.%},"kfpARaH, CurikA, kartarI, asiputri-"
2535,"Daggle,",{%v. t.%},malena duz
2536,"Daily,",{%See%} under {@Day.@},
2537,"Dainty,",{%a.%},"svAdu, rucira, surasa, mizwa"
2538,"Dairy,",{%s.%},"dugDaSAlA, daDimaMTanagfhaM;"
2539,"Dais,",{%s.%},"savitAnaM, uccAsanaM"
2540,"Dale,",{%s.%},"darI, kaMdaraH; upatyakA"
2541,"Dally,",{%v. i.%},vilas
2542,"Dam,",{%s.%},"setuH, jalAvaraRaM, DaraRaH"
2543,"Damage,",{%s.%},hAni
2544,"Damask,",{%s.%},citradukUlaM
2545,"Dame,",{%s.%},"AryA, BavatI"
2546,"Damn,",{%v. t.%},daMq
2547,"Damp,",{%s.%},"klinna, stimita, Ardra, jalasikta,"
2548,"Damsel,",{%s.%},"kanyA, bAlA, kumArI, bAlikA,"
2549,"Dance,",{%v. i.%},nft
2550,"Dandle,",{%v. t.%},aMke niDAya lal
2551,"Dandri(u)ff,",{%s.%},majjA; dAruRaM
2552,"Dandy,",{%s.%},"suvasanaH, suBagaMmanyaH; dAMBikaH"
2553,"Danger,",{%s.%},"BayaM, BIti,"
2554,"Dangle,",{%v. i.%},lul
2555,"Dank,",{%a. See%} {@Damp.@},
2556,"Dapple,",{%v. t.%},citr
2557,"Dare,",{%v. i.%},Dfz
2558,"Dark,",{%a.%},aMDakAramaya
2559,"Darling,",{%a.%},"priya, priyatama, dayita;"
2560,"Darn,",{%s.%},vastrasaMDiH
2561,"Dart,",{%s.%},"astraM, SalyaM, SaMkuH"
2562,"Dash,",{%v. t.%},raBasA prakzip
2563,"Dastard, -ly,","{%See%} {@Coward,-ly@}",
2564,"Data,",{%s.%},svIkftAni tattvAni; upanyAsaH
2565,"Date,",{%s.%},KarjUraH-rI
2566,"Daub,",{%v. t.%},lip
2567,"Daughter,",{%s.%},"kanyA, duhitf"
2568,"Daunt,",{%v. t.%},tras
2569,"Daw,",{%s.%},droRakAkaH
2570,"Dawdle,",{%v.%},vilaMb
2571,"Dawn,",{%s.%},uzas
2572,"Day,",{%s.%},"dinaM, divasaH, vAsaraH, ahan"
2573,"Daze,",{%v. t. See%} {@Stun.@},
2574,"Dazzle,",{%v. t.%} (the eye),cakzuzaH tejaH prati-
2575,"Dead,",{%See%} under {@Die.@},
2576,"Deaf,",{%s.%},"baDira, Srotravikala, akarRa, eqa;"
2577,"Deal,",{%s.%},"bAhulyaM, prAcuryaM;"
2578,"Dear,",{%a.%},"bahumUlya, mahArGa-rha, mahAmUlya"
2579,"Dearth,",{%s.%},"durBikzaM, duzkAlaH;"
2580,"Death,",{%See%} under {@Die.@},
2581,"Debar,",{%v. t.%},ni-prati-ziD
2582,"Debark,",{%v. i.%},uttF
2583,"Debase,",{%v. t.%} Ex. by,kf
2584,"Debate,",{%s.%},"vi-,vAdaH, vAdaprativAdaH, vAdayudDaM,"
2585,"Debauch,",{%v. t.%},duz
2586,"Debenture,",{%s.%},"pratijYApatraM, niyamaleKaH"
2587,"Debilitate,",{%v. t.%},tejo hf
2588,"Debit,",{%v. t.%},deyaDanaBAge liK
2589,"Debonair,",{%a.%},"saBya, Sizwa, suSIla, suvinIta,"
2590,"Debt,",{%s.%},fRaM;
2591,"Decade,",{%s.%},daSakaM;
2592,"Decadence,",{%s.%},"kzayaH, avapAtaH, avasAdaH"
2593,"Decadency,",{%s.%},"kzayaH, avapAtaH, avasAdaH"
2594,"Decagon,",{%s.%},"daSAsraM, daSaBujaH"
2595,"Decamp,",{%v. i.%},kawakaM-SibiraM-tyaj
2596,"Decant,",{%v. t.%},kAcapAtre snu
2597,"Decapitate,",{%See%} {@Behead.@},
2598,"Decay,",{%v. i.%},kzi
2599,"Decease,",{%v. i.%},mf
2600,"Deceive,",{%v. t.%},vaMc
2601,"December,",{%s.%},"sahasyaH, mArgaSIrzapOzO"
2602,"Decennial,",{%a.%},daSavArzika
2603,"Decent,",{%a.%},"vinIta, savinaya, samaryAda, Sizwa,"
2604,"Decharm,",{%v. t.%},maMtraM pratikf
2605,"Decide,",{%v.%},nirRI
2606,"Deciduous,",{%a.%},"pAtuka, patanaSIla, kzayin, a-"
2607,"Decimal,",{%a.%},"daSaka, daSaguRita"
2608,"Decipher,",{%v. t.%} (a letter &c.),nir-anu-
2609,"Deck,",{%v. t.%},alaM-kf
2610,"Declaim,",{%v. i.%} (against),apaBAz
2611,"Declare,",{%v. t.%},vad
2612,"Decline,",{%v. i.%},"kzayaM, -hrAsaM-yA-i"
2613,"Declivity,",{%s.%},"avasarpiRI BUmiH, utsaMgaH"
2614,"Decoct,",{%v. t.%},kvaT
2615,"Decollation,",{%s.%},SIrzacCedaH
2616,"Decompose,",{%v. t.%},pfTak kf
2617,"Decompound,",{%v. t.%},punarmiSr
2618,"Decorate,",{%v. t.%},BUz
2619,"Decorous,",{%a.%},"vinIta, savinaya; yukta, ucita;"
2620,"Decorticate,",{%v. t.%},tvacaM nizkfz
2621,"Decoy,",{%v. t.%},kapawena Akfz
2622,"Decrease,",{%v. i.%},parikzi
2623,"Decree,",{%v. t.%},AdiS
2624,"Decrepit,",{%a.%},"jarAkrAMta, jarAtura, jIrRa, jarA-"
2625,"Decrescent,",{%a.%},"kzayin, kzIyamARa, kzayizRu"
2626,"Decretal,",{%s.%},viDisaMhitA
2627,"Decry,",{%v. t.%},apa-pari-vad
2628,"Decumbent,",{%a.%},"SayAna, saMvizwa, nizaRRa,"
2629,"Decumbence,",{%s.%},"SayanaM, SayyopaveSanaM"
2630,"Decuple,",{%a.%},daSaguRa
2631,"Dedicate,",{%v. t.%},utsfj
2632,"Deduce,",{%v. t.%},anumA
2633,"Deduct,",{%v. t.%},viyuj
2634,"Deed,",{%s.%},karman
2635,"Deem,",{%v. t.%},man
2636,"Deep,",{%a.%},"gaBIra, gaMBIra, agADa, gahana, gAQa"
2637,"Deer,",{%s.%},"mfgaH, hariRaH, kuraMgaH, kuraMgamaH, vAtAyuH,"
2638,"Deface,",{%v. t.%},vinaS
2639,"De facto,",{%adv.%},"vastutaH, paramArTataH"
2640,"Defalcate,",{%v. t.%},nyUnIkf
2641,"Defame,",{%v. t.%},pari-apa-vad
2642,"Default,",{%s.%},"aparADaH, dozaH; vyatikramaH, ananu-"
2643,"Defeasance,",{%s.%},"lopaH, vyatikramaH, niyamaBaMgaH-"
2644,"Defeasible,",{%a.%},lopanIya
2645,"Defeat,",{%v. t.%},parA-ji
2646,"Defecate,",{%v. t.%},malaM hf
2647,"Defect,",{%s.%},"vikAraH, dozaH, CidraM, vakalyaM, nyU-"
2648,"Defection,",{%s.%},"tyAgaH, utsargaH, BraMSaH, cyuti"
2649,"Defend,",{%v. t.%},rakz
2650,"Defer,",{%v. t.%},vilaMb
2651,"Deficient,",{%a.%},"nyUna, Una, asaMpUrRa, vikala;"
2652,"Defile,",{%v. t.%},duz
2653,"Define,",{%v. t.%},lakzaRaM vyAKyA
2654,"Deflagration,",{%s.%},"dAhaH, dAhanaM, jvalanaM"
2655,"Deflect,",{%v. i.%},BraMS
2656,"Deflour, Deflower,",{%v. t.%},cAritryaM naS
2657,"Defluxion,",{%s.%},"nisyaMdaH, kzaraRaM, sravaRaM"
2658,"Defoliation,",{%s.%},"patrApagamaH, parRamokzaH"
2659,"Deform,",{%v. t.%},virUp
2660,"Defraud,",{%v. t.%},vaMc
2661,"Defray,",{%v. t.%} (Expenses),dA
2662,"Deft,","{%a,%}","vinIta, dakza, catura, vidagDa"
2663,"Defunct,",{%a.%},"mfta, vipanna;"
2664,"Defy,",{%v. t.%},tfRIkf
2665,"Degenerate,",{%v. i.%} (,kulAcArAt
2666,"Deglutition,",{%s.%},"nigaraRaM, grasanaM"
2667,"Degrade,",{%v. t.%} (,padAt
2668,"Degree,",{%s.%},"padaM, sTAnaM, padavi-vI"
2669,"Deify,",{%v. t.%},devatvamAruh
2670,"Deign,",{%v.%},arh
2671,"Deism,",{%s.%},"ISvaravAdaH, AstikyaM"
2672,"Deity,",{%s.%},"devatA, dEvataM, devaH;"
2673,"Deject,",{%v. t.%},vizad
2674,"Dejecture,",{%s.%},"avaskaraH, purIzaM"
2675,"Delate,",{%v. t.%},vah
2676,"Delay,",{%v. t.%},vilaMb
2677,"Delectable,",{%a.%},"ramya, kamanIya, manojYa, AhlA-"
2678,"Delegate,",{%v. t.%},niyuj
2679,"Delete,",{%v. t.%},apa-vyA-mfj
2680,"Delf,",{%s.%},"mfdBAMqaM; mfRmayadravyaM, kOlAlakaM"
2681,"Deliberate,",{%v. i.%},vicar
2682,"Delicate,",{%a.%},"maDura, svAdu, mizwa"
2683,"Delicious,",{%s.%},"svAdu, mizwa, rucikara"
2684,"Delight,",{%s.%},"AhlAdaH, A-pra-modaH, suKaM, harzaH,"
2685,"Delimit,",{%v. t.%},maryAdI kf
2686,"Delineate,",{%v. t.%},varR
2687,"Delinquency,",{%s.%},"dozaH-aparADaH, pApaM, duzka-"
2688,"Deliquesce,",{%v. i.%},dravIBU
2689,"Deliquium,",{%s.%},"vilayanaM, dravaH"
2690,"Delirium,",{%s.%},"cittaBramaH, cEtanyanASaH, jYAna-"
2691,"Deliver,",{%v. t.%},muc
2692,"Dell,",{%s.%},"darI, guhA, kaMdaraH"
2693,"Delude,",{%v. t.%},muh
2694,"Deluge,",{%s.%},"AplAvaH, saMplavaH, jalapralayaH, BUta-"
2695,"Delve,",{%v. t.%},Kan
2696,"Demagogue,",{%s%},"prAkftajananAyakaH, prajA-"
2697,"Demain, Demesne,",{%s.%},svADInA BUmiH
2698,"Demand,",{%v. t.%},pracC
2699,"Demarkation,",{%s.%},sImA-maryAdA-paricCedaH
2700,Demean,"(oneself), {%v. i.%}",vfttiM anuzWA
2701,"Dementate,",{%v. t.%},unmad
2702,"Demerit,",{%s.%},"aguRaH, dozaH, nyUnatA"
2703,"Demi,",,"arDa, sAmi"
2704,"Demi-god,",{%s.%},"naradevaH, vidyADaraH, yakzaH, gaMDarvaH,"
2705,"Demi-man,",{%s.%},"arDapuruzaH-naraH, kinnaraH"
2706,"Demise,",{%s.%},"mftyuH, maraRaM, uparati"
2707,"Demission,",{%s.%},"avapAtaH, avasAdanaM, apakarzaRaM"
2708,"Demobilize,",{%v. t. See%} {@‘Disband.’@},
2709,"Democracy,",{%s.%},"prajApraButvaM, prajAsattAtmakaM"
2710,"Demolish,",{%v. t.%},vinaS
2711,"Demon,",{%s.%},"dAnavaH, asuraH, rakzas"
2712,"Demonstrate,",{%v. t.%},sAD
2713,"Demoralize,",{%v. t.%},DarmAd-AcArAd-BraMS
2714,"Demulcent,",{%a.%},"SAmaka, SAMtida"
2715,"Demur,",{%v. i.%},SaMk
