Sanskrit Term,English/Hindi Term
viSezaH_1,Characteristic_1
lambaH_3,Perpendicular_3
lambakaH_3,Perpendicular_3
aDolambaH_3,Perpendicular_3
AlambaH_3,Perpendicular_3
avalambaH_3,Perpendicular_3
vatsalatA_1,Yearning_1
vAtsalyaM_1,Yearning_1
utsukatA_1,Yearning_1
OtsukyaM_1,Yearning_1
snehaH_1,Yearning_1
atyaBilAzI_1,Longing_1
icCA_1,Wish_1
aBilAzaH_1,Wish_1
AkAMkzA_1,Wish_1
izwaM_1,Wish_1
spfhA_1,Wish_1
manoraTaH_1,Wish_1
IpsitaM_1,Wish_1
icCuH_1,Wishing_1
AkAMkzI_1,Wishing_1
,Desiring_1
,Wishful_1
pAlitaH_1,Cherished_1
pozitaH_1,Cherished_1
puzwaH_1,Cherished_1
saMvardDitaH_1,Cherished_1
izwaH_2,Desired_2
aBIzwaH_2,Desired_2
aBilazitaH_2,Desired_2
vAYCitaH_2,Desired_2
leKyArUQaH_1,Recorded_1
leKyAropitaH_1,Recorded_1
leKyapatrArUQaH_1,Recorded_1
DanagarvaH_1,Pride_1
DanadarpaH_1,Pride_1
DanABimAnaM_1,Pride_1
arTagarvaH_1,Pride_1
dravyABimAnaM_1,Pride_1
SUnyatA_1,Vanity_1
riktatA_1,Vanity_1
niHsAratA_1,Vanity_1
garvaH_1,Arrogance_1
DarzaH_1,Arrogance_1
darpaH_1,Arrogance_1
mAnaH_1,Arrogance_1
aBimAnaH_1,Arrogance_1
madaH_1,Arrogance_1
avalepaH_1,Arrogance_1
aha-_1,Arrogance_1
pragalBaH_1,Arrogant_1
garvvI_1,Arrogant_1
atigarvvitaH_1,Arrogant_1
,Favourite_1
,Medial_1
vastrA-_2,Facing_2
aBinandA_1,Greeting_1
aBivAdaH_1,Greeting_1
vandanaM_1,Greeting_1
aBivandanaM_1,Greeting_1
kuSala-_1,Greeting_1
AtmapraSaMsA_1,Applause_1
AtmaSlAGA_1,Applause_1
AtmastutiH_1,Applause_1
kalpitakaTA_3,Novel_3
parikaTA_3,Novel_3
upakaTA_3,Novel_3
kaTA_3,Novel_3
navaH_1,New_1
navInaH_1,New_1
nUtanaH_1,New_1
nUtnaH_1,New_1
nUtanaH_1,Recent_1
navaH_1,Recent_1
aBinavaH_1,Recent_1
pravft_1,Bias_1
prAvaRyaM_1,Inclination_1
pravaRatA_1,Inclination_1
pravAhaH_1,Inclination_1
pratikArakaH_1,Acting_1
pratIkArakaH_1,Acting_1
nawaH_1,Actor_1
narttakaH_1,Actor_1
kuSIlavaH_1,Actor_1
cAraRaH_1,Actor_1
raNgajIvakaH_1,Actor_1
narttakI_2,Actress_2
nawI_2,Actress_2
cAraRadArAH_2,Actress_2
karttavyAkarttavyavicAraH_1,Deliberation_1
kAryyAkAryyavicAraH_1,Deliberation_1
pUrvvAparavi-_1,Deliberation_1
aBiniveSaH_2,Perseverance_2
aBinivizwatA_2,Perseverance_2
vyavasTitiH_2,Perseverance_2
,Staged_1
vyavasTApitaH_1,Enacted_1
nizpannaH_1,Enacted_1
praSAsitaH_1,Enacted_1
sUc_2,Intimate_2
aBinnaH_1,Integral_1
pUrRaH_1,Integral_1
sampUrRaH_1,Integral_1
avikalaH_1,Integral_1
samatA_2,Sameness_2
samAnatA_2,Sameness_2
sAmyaM_2,Sameness_2
sAmAnyaM_2,Sameness_2
sAmyatA_2,Sameness_2
tulyatA_2,Sameness_2
aBiprAyaH_1,Intention_1
aBipretaM_1,Intention_1
cikIrzitaM_1,Intention_1
cikIrzA_1,Intention_1
ASayaH_1,Intention_1
aBipre_1,Purport_1
uddiS_1,Purport_1
vac_1,Purport_1
aBipre_1,Purpose_1
aBiprAyaM_1,Purpose_1
kf_1,Purpose_1
prAstAvikaH_1,Apropos_1
prastAvasadfSaH_1,Apropos_1
vivakzitaH_2,Implied_2
arTasambadDaH_2,Implied_2
upalakzitaH_2,Implied_2
cikIrzitaH_1,Designed_1
aBipretaH_1,Designed_1
upalakzitaH_1,Designed_1
,Affirmed_1
roDaH_5,Custody_5
niroDanaM_5,Custody_5
banDanaM_5,Custody_5
sTAnAseDaH_5,Custody_5
,Beautiful_1
kAntaH_1,Lovely_1
sundaraH_1,Lovely_1
atisundaraH_1,Lovely_1
ramyaH_1,Delightful_1
ramaRIyaH_1,Delightful_1
manoramaH_1,Delightful_1
manoharaH_1,Delightful_1
,Consecrated_1
ruciH_1,Liking_1
duzwakarmmasampAdanArTaM_1,Conspiracy_1
bahujanAnAM_1,Conspiracy_1
bahUnAM_1,Conspiracy_1
SApaH_1,Curse_1
aBiSApaH_1,Curse_1
SapaTaH_1,Curse_1
SapaH_1,Curse_1
pariSApaH_1,Curse_1
AkruzwaH_1,Cursed_1
SApagrastaH_1,Cursed_1
ekasTAnaM_1,Convergence_1
prati_1,Convergence_1
ekakendrABimuKatA_1,Convergence_1
deSI_2,Index_2
Cadma_1,Plea_1
sTAnaM_1,Attitude_1
BAvaH_1,Attitude_1
avasTA_1,Attitude_1
sTitiH_1,Attitude_1
samfdDiH_1,Prosperity_1
pragam_1,Progress_1
agre_1,Progress_1
prayA_1,Progress_1
prasf_1,Progress_1
vAdaH_3,Expression_3
kaTanaM_3,Expression_3
jYApanaM_3,Expression_3
vijYApanaM_3,Expression_3
KyApanaM_3,Expression_3
AvizkaraRaM_2,Manifestation_2
AvizkAraH_2,Manifestation_2
prAduzkaraRaM_2,Manifestation_2
vyaktI-_2,Manifestation_2
draS_7,See_7
prAduzkftaH_1,Manifested_1
trAsakaraRaM_1,Intimidation_1
BIzaRaM_1,Intimidation_1
BIzA_1,Intimidation_1
BayakaraRaM_1,Intimidation_1
BayadarSanaM_1,Intimidation_1
BayapradarSanaM_1,Intimidation_1
nAma_1,Noun_1
anumAnamUlaM_1,Postulate_1
svIkftapakzaH_1,Postulate_1
deSyaM_1,Postulate_1
sidDavad_1,Postulate_1
tvarA_1,Expedition_1
tUrRiH_1,Expedition_1
yAc_1,Demand_1
yantrakAraH_1,Engineer_1
yantranirmmARaSilpavid_1,Engineer_1
yantravid_1,Engineer_1
kalAjYaH_1,Engineer_1
samaBUmiH_1,Campaign_1
dozAropaH_1,Accusation_1
aparADAropaH_1,Accusation_1
aBiyogapatraM_1,Indictment_1
apavAdapatraM_1,Indictment_1
aBiyogaleKyaM_1,Indictment_1
leKyaM_1,Indictment_1
aBi-_1,Indictment_1
aBiyuktaH_2,Accused_2
aBiSaptaH_2,Accused_2
aBiSastaH_2,Accused_2
nizidDaH_1,Forbidden_1
pratizidDaH_1,Forbidden_1
nivAritaH_1,Forbidden_1
svargIyaH_2,Celestial_2
SucijanaH_2,Innocent_2
niraparADI_2,Innocent_2
ajYeyaH_6,Incomprehensible_6
agrAhyaH_6,Incomprehensible_6
agrahaRIyaH_6,Incomprehensible_6
aboDyaH_2,Unintelligible_2
aboDanIyaH_2,Unintelligible_2
unmattaH_1,Insane_1
unmAdavAn_1,Insane_1
unmAdaH_1,Insane_1
apUrRaH_2,Unfulfilled_2
asampUrRaH_2,Unfulfilled_2
,Ungratified_1
,Unenjoyed_1
anaByastaH_2,Unused_2
anAsAditaH_2,Unused_2
alaNkAraH_3,Embellishment_3
alaNkaraRaM_3,Embellishment_3
alaNkriyA_3,Embellishment_3
BUzaRaM_3,Embellishment_3
viBUzaRaM_3,Embellishment_3
alaNkftaH_1,Ornamented_1
BUzitaH_1,Ornamented_1
viBUzitaH_1,Ornamented_1
BUzitaH_1,Decorated_1
viBUzitaH_1,Decorated_1
alaNkftaH_1,Decorated_1
BUzitaH_1,Embellished_1
viBUzitaH_1,Embellished_1
alaNkftaH_1,Embellished_1
apUrvvaH_3,Unprecedented_3
apUrvvapratimaH_3,Unprecedented_3
adfzwapUrvvaH_3,Unprecedented_3
vatsaraH_1,Year_1
varzaH_1,Year_1
saMvatsaraH_1,Year_1
parivatsaraH_1,Year_1
abdaH_1,Year_1
samA_1,Year_1
samAH_1,Year_1
sAmudraH_1,Ocean_1
sAmudrikaH_1,Ocean_1
samudrIyaH_1,Ocean_1
prativarzaM_1,Yearly_1
prativatsaraM_1,Yearly_1
pratyabdaM_1,Yearly_1
anuvatsaraM_1,Yearly_1
vatsare_1,Yearly_1
varze_1,Yearly_1
prativArzikaH_1,Annual_1
sAMvatsarikaH_1,Annual_1
,Visiting_2
aByantaraM_4,Interior_4
antarBAgaH_4,Interior_4
antaHpradeSaH_4,Interior_4
antaraNga_4,Interior_4
antarasTaH_6,Internal_6
antarBUtaH_6,Internal_6
antarvarttI_6,Internal_6
tyAgaH_1,Surrender_1
parityAgaH_1,Surrender_1
utsargaH_1,Surrender_1
utsarjanaM_1,Surrender_1
svAgatam_1,Welcome_1
padaprepsuH_1,Candidate_1
SarIravyAyAmaM_2,Exercise_2
aByAsI_1,Practising_1
kftAByAsaH_1,Practising_1
Acarana_1,Practising_1
AByAsikaH_1,Habitual_1
aByastaH_1,Habitual_1
AcArikaH_1,Habitual_1
SikzitaH_1,Trained_1
vinItaH_1,Trained_1
anunItaH_1,Trained_1
kuSalaH_1,Skilled_1
SikzitaH_1,Skilled_1
sUryyodayaH_1,Rise_1
sUryyodayakAlaH_1,Rise_1
aruRodayaH_1,Rise_1
udayaH_1,Rise_1
udayakAlaH_1,Rise_1
udayI_1,Rising_1
udayamAnaH_1,Rising_1
utpatan_1,Rising_1
suKaM_1,Happiness_1
sOKyaM_1,Happiness_1
suKitvaM_1,Happiness_1
AnandaH_1,Happiness_1
AhlAdaH_1,Happiness_1
DanyatA_1,Happiness_1
harzaH_1,Happiness_1
AgamanaM_1,Advent_1
acalaH_3,Immovable_3
niScalaH_3,Immovable_3
sTAvaraH_3,Immovable_3
,Immobile_1
sTAvaraH_1,Stationary_1
sTARuH_1,Stationary_1
sTAyukaH_1,Stationary_1
acalaH_1,Motionless_1
niScalaH_1,Motionless_1
niScezwaH_1,Motionless_1
dfQIkf_2,Firm_2
sTirIkf_2,Firm_2
draQa_2,Firm_2
jaqatA_3,Inertia_3
jAqyaM_3,Inertia_3
acalatA_3,Inertia_3
niScalatA_3,Inertia_3
kuRWatA_3,Inertia_3
dfQatA_1,Firmness_1
dArQyaM_1,Firmness_1
draQimA_1,Firmness_1
vismi_1,Wonder_1
vismayaH_1,Surprise_1
AScaryyatvaM_1,Surprise_1
AScaryyaM_1,Surprise_1
vismayaH_1,Astonishment_1
AScaryyatvaM_1,Astonishment_1
camatkAraH_1,Astonishment_1
vyAkulatA_1,Astonishment_1
aSvaSAlA_1,Stable_1
vAjiSAlA_1,Stable_1
mandurA_1,Stable_1
sTirIkf_1,Steady_1
niScalIkf_1,Steady_1
acalIkf_1,Steady_1
sTiratAM_1,Steady_1
sTEryyaM_1,Steady_1
akasmAt_1,Suddenly_1
sadyas_1,Suddenly_1
sahasA_1,Suddenly_1
ekapade_1,Suddenly_1
ekadA_1,Suddenly_1
akARqaM_1,Suddenly_1
akasmAt_1,Unexpectedly_1
anapekzaM_1,Unexpectedly_1
atarkitaM_1,Unexpectedly_1
acintitaM_1,Unexpectedly_1
kAka-_1,Unexpectedly_1
AkasmikaH_6,Sudden_6
sAdyaskaH_6,Sudden_6
sadyaskaH_6,Sudden_6
aBayapatraM_2,Conduct_2
aBayavAk_2,Conduct_2
,Pickles_1
nityaH_1,Constant_1
nEtyikaH_1,Constant_1
aBIkzRaH_1,Constant_1
avikAryyaH_1,Invariable_1
nirvikAraH_1,Invariable_1
avikAraH_1,Invariable_1
vfttiH_2,Behaviour_2
patitaH_6,Fallen_6
nipatitaH_6,Fallen_6
prapatitaH_6,Fallen_6
BrazwaH_6,Fallen_6
nItividyA_1,Ethics_1
nItiH_1,Ethics_1
,Initiator_1
muKyaH_4,Principal_4
muKaraH_4,Principal_4
patiH_4,Principal_4
SizyaH_6,Scholar_6
vidyArTI_6,Scholar_6
viSizwaH_1,Excellent_1
utkfzwaH_1,Excellent_1
SrezWaH_1,Excellent_1
uttamaH_1,Excellent_1
ramyaH_1,Pleasant_1
ramaRIyaH_1,Pleasant_1
priyaH_1,Pleasant_1
supriyaH_1,Pleasant_1
sADummanyaH_1,Righteous_1
DarmmABimAnI_1,Righteous_1
Dvan_1,Sound_1
satyaH_2,Genuine_2
prakftaH_2,Genuine_2
vAstavaH_2,Genuine_2
BadraM_9,Well_9
vAQaM_9,Well_9
sADu_9,Well_9
astu_9,Well_9
Bavatu_9,Well_9
taTeti;_9,Well_9
sADutA_1,Goodness_1
sattvaM_1,Goodness_1
praSastatA_1,Goodness_1
prASastyaM_1,Goodness_1
praSastiH_1,Goodness_1
arh_1,Merit_1
BadraM_28,Good_28
vAQaM_28,Good_28
kAmaM_28,Good_28
Bavatu_28,Good_28
astu_28,Good_28
evamastu_28,Good_28
taTeti_28,Good_28
kozaH_1,Sheath_1
koSaH_1,Sheath_1
piDAnaM_1,Sheath_1
tiroDAnaM_1,Sheath_1
piDAnaM_1,Lid_1
SarAvaH_1,Lid_1
SaravaH_1,Lid_1
mudgaH_1,Lid_1
AcCAdanaM_1,Lid_1
CAdanaM_1,Lid_1
AvaraRaM_1,Lid_1
paWalaM_1,Lid_1
Cad_1,Cover_1
CAdanaM_1,Covering_1
AcCAdanaM_1,Covering_1
pracCAdanaM_1,Covering_1
piDAnaM_1,Covering_1
apiDAnaM_1,Covering_1
pawalaM_1,Covering_1
granT_1,Wreathe_1
aKaRqitaH_1,Uninterrupted_1
nirantaraH_1,Uninterrupted_1
nirantarAyaH_1,Uninterrupted_1
aBinnaH_3,Undivided_3
aKaRqaH_3,Undivided_3
aKaRqitaH_3,Undivided_3
nirjIvaH_1,Inanimate_1
vicetanaH_1,Inanimate_1
acetanaH_1,Inanimate_1
asADyaH_3,Incurable_3
asADanIyaH_3,Incurable_3
acikitsyaH_3,Incurable_3
,Unplanned_1
AkasmikaH_1,Unexpected_1
anapekzitaH_1,Unexpected_1
alakzitaH_1,Unexpected_1
,Unworried_1
ajYAtaH_1,Unknown_1
aviditaH_1,Unknown_1
,Unidentified_1
udyuj_1,Prompt_1
,Unending_1
aBrAntiSIlaH_1,Infallible_1
aBramADInaH_1,Infallible_1
aBrAntimAn_1,Infallible_1
akzayaH_2,Unfailing_2
akzayI_2,Unfailing_2
navaH_1,Fresh_1
aBinavaH_1,Fresh_1
pratinavaH_1,Fresh_1
aspfzwaH_3,Untouched_3
asparSitaH_3,Untouched_3
atinirbanDena_1,Persist_1
atinirbanDaM_1,Persist_1
kuhanA_1,Hypocrisy_1
damBaH_1,Hypocrisy_1
kuhakavfttiH_1,Hypocrisy_1
damBI_7,Ostentatious_7
dAmBikaH_7,Ostentatious_7
sadamBaH_7,Ostentatious_7
damBI_5,Hypocrite_5
sTAnaM_1,Stand_1
padaM_1,Stand_1
avasTAnaM_1,Stand_1
BUH_1,Base_1
sTAnaM_1,Haunt_1
ASrayaRaM_1,Resort_1
SrayaRaM_1,Resort_1
saRqInaM_1,Perch_1
saRqI_1,Perch_1
vakraH_1,Oblique_1
vakrimaH_1,Oblique_1
kuwilaH_1,Oblique_1
kzitijEkasUtraH_1,Horizontal_1
kzitijasamasUtraH_1,Horizontal_1
Cad_1,Screen_1
ruD_1,Barricade_1
nirbanDaM_1,Insist_1
tiryyaN_2,Transverse_2
vyatyastaH_2,Transverse_2
viparItaH_2,Transverse_2
paTamaDye_1,Halt_1
rakz_1,Shield_1
trE_1,Shield_1
gup_1,Shield_1
pAl_1,Shield_1
Cad_1,Shield_1
yazwiH_13,Stick_13
,Hindrance_2
grah_4,Hitch_4
kAWinyaM_1,Difficulty_1
viGnaH_7,Impediment_7
vyAGAtaH_7,Impediment_7
antarAyaH_7,Impediment_7
pratyUhaH_7,Impediment_7
pratibanDaH_7,Impediment_7
vizwamBaH_7,Impediment_7
viGnaH_3,Obstacle_3
antarAyaH_3,Obstacle_3
vyAGAtaH_3,Obstacle_3
pratyUhaH_3,Obstacle_3
pratibanDaH_3,Obstacle_3
roDaH_3,Obstacle_3
GawakaH_1,Broker_1
premaGawakaH_1,Broker_1
madanadUtaH_1,Broker_1
anamanIyaH_1,Inflexible_1
anAmyaH_1,Inflexible_1
stabDaH_1,Stubborn_1
pratIpaH_1,Stubborn_1
dfQaH_1,Stubborn_1
avineyaH_1,Stubborn_1
,Peach_1
apAmpittaH_4,Fire_4
sammuKIBU_1,Front_1
aBimuKIBU_1,Front_1
pratimuKIBU_1,Front_1
sammuKe_1,Front_1
pApaM_1,Sin_1
pAtakaM_1,Sin_1
pApakarmma_1,Sin_1
aparADaM_1,Sin_1
dozaM_1,Sin_1
waNkamuKaM_1,Face_1
waNkaDAropamam_1,Face_1
anantaraM_1,Next_1
tadanantaraM_1,Next_1
pratyanantaraM_1,Next_1
paraM_1,Next_1
paratas_1,Next_1
parastAt_1,Next_1
anugamaH_1,Following_1
anusaraRaM_1,Following_1
anuvarttanaM_1,Following_1
anuvrajanaM_1,Following_1
dozaH_1,Coming_1
aparADaH_1,Coming_1
nyUnatA_1,Coming_1
atipAtaH_1,Coming_1
avakriyA_1,Coming_1
upAtyayaH_1,Coming_1
upasTitaH_1,Approaching_1
samupasTitaH_1,Approaching_1
agamyaH_1,Inaccessible_1
anaBigamyaH_1,Inaccessible_1
agamanIyaH_1,Inaccessible_1
praBavaH;_1,Birth_1
mUlaM_1,Origin_1
AramBaH_1,Origin_1
mUlAramBaH_1,Origin_1
leKaH_1,Scripture_1
lipiH_1,Scripture_1
utpannaM_1,Proceeds_1
samutpannaM_1,Proceeds_1
utpannaDanaM_1,Proceeds_1
samutpannaDanaM_1,Proceeds_1
anAgamaH_1,Arrival_1
anaBigamanaM_1,Arrival_1
anupasTAnaM_1,Arrival_1
AnumAnikaH_1,Inductive_1
vyApakaH_1,Inductive_1
AgAmI_1,Ensuing_1
BAvI_1,Ensuing_1
uttarakA._1,Ensuing_1
,Incoming_1
,Visiting_3
agaRanIyaH_1,Innumerable_1
agaRyaH_1,Innumerable_1
asaMKyeyaH_1,Innumerable_1
agaRitaH_1,Unnumbered_1
asaMKyAtaH_1,Unnumbered_1
,Uncensured_1
vizamaH_1,Untoward_1
pratyavAyaH_1,Untoward_1
nAsikaM_1,Blow_1
pARinA_1,Stroke_1
tAqitaH_1,Hit_1
hataH_1,Hit_1
AhataH_1,Hit_1
samAhataH_1,Hit_1
kzuB_1,Shock_1
sparSaH_1,Impact_1
saMsparSaH_1,Impact_1
samparkaH_1,Impact_1
upaGAtaH_1,Impact_1
AGAtaH_1,Impact_1
pratiGAtaH_1,Impact_1
sUtrAnusArataH_1,Accent_1
gamBIraH_1,Profound_1
gaBIraH_1,Profound_1
agADaH_1,Profound_1
jAnudaGnaH_1,Deep_1
jAnudvayasaH_1,Deep_1
jAnumAtraH_1,Deep_1
niyogI_1,Officer_1
pramARaM_3,Authority_3
prAmARyaM_3,Authority_3
AgneyaH_1,Fiery_1
agnimayaH_1,Fiery_1
kAmaH_1,Appetite_1
loBaH_1,Appetite_1
rAgaH_1,Appetite_1
ruciH_1,Appetite_1
agnikaRaH_3,Spark_3
vahnikaRaH_3,Spark_3
agnikaRikA_3,Spark_3
jvalanakaRaH_3,Spark_3
parIkzA_1,Ordeal_1
DarmmADarmmaparIkzA_1,Ordeal_1
divyaM_1,Ordeal_1
satyaM_1,Ordeal_1
pramARaM_1,Ordeal_1
kozaH_1,Ordeal_1
pAcakaH_2,Digestive_2
pAcanaH_2,Digestive_2
paripAkI_2,Digestive_2
,Firearms_1
avyaktaH_1,Imperceptible_1
apratyakzaH_1,Imperceptible_1
aviBAvya_1,Imperceptible_1
-vyA_1,Imperceptible_1
malinaH_1,Filthy_1
samalaH_1,Filthy_1
maladUzitaH_1,Filthy_1
malImasa_1,Filthy_1
,Undeclared_1
avAkSirAH_1,Foremost_1
aDaHSirAH_1,Foremost_1
paramaH_1,Chief_1
paraH_1,Chief_1
uttamaH_1,Chief_1
muKyaH_1,Chief_1
garuqanAsA_3,Nose_3
SukanASikA_3,Nose_3
,Pioneering_4
sTARustamBAdiCedena_4,Pioneer_4
nayaH_5,Leading_5
nAyaH_5,Leading_5
nItiH_5,Leading_5
nirbanDaH_1,Persistence_1
atinirbanDaH_1,Persistence_1
AgrahaH_1,Persistence_1
aBi-_1,Persistence_1
apratigrAhyaH_1,Unacceptable_1
agrAhyaH_1,Unacceptable_1
anAdeyaH_1,Inadmissible_1
agrAhyaH_1,Inadmissible_1
agrahaRIyaH_1,Inadmissible_1
rogI_1,Invalid_1
,Editorial_1
puravyavahArasambanDI_1,Civil_1
pOrAcArasambanDI_1,Civic_1
,Urbane_1
SoDitaH_1,Refined_1
saMSoDitaH_1,Refined_1
pUrvvatA_3,Priority_3
agratA_3,Priority_3
praTamatA_3,Priority_3
prATamyaM_3,Priority_3
AdyatA_3,Priority_3
purogatiH_2,Precedence_2
vandI_2,Herald_2
,Pioneering_5
,Forerunner_1
netA_1,Guide_1
netftvaM_3,Leadership_3
nAyakatvaM_3,Leadership_3
muKyatA_3,Leadership_3
aDizWAtftvaM_3,Leadership_3
pramuKatA_3,Leadership_3
nayaH_2,Guidance_2
nAyaH_2,Guidance_2
nItiH_2,Guidance_2
AramBaH_1,Beginning_1
prAramBaH_1,Beginning_1
samAramBaH_1,Beginning_1
prArabDiH_1,Beginning_1
sPuraRaM_1,Start_1
kampaH_1,Start_1
spandanaM_1,Start_1
AkasmikasPuraRaM;_1,Start_1
nand_3,Joy_3
dIrGaniSvAsaH_4,Sigh_4
