Entry No   Transliteration                          Word Info            Definition
443        OdAsInyaM, udAsInatA, vErAgyaM           Apathy,@             {%s.%}

444        vAnaraH, kapiH, plava                    Ape,@                {%s.%}

445        ajIrRaM                                  Apepsy,@             {%s.%}

446        recakaM, recanaM                         Aperient,@           {%s.%}

447        CidraM, raMDraM, sUkzmaM dvAraM          Aperture,@           {%s.%}

448        dalahIna, nizpatra, nirdala              Apetalous,@          {%a.%}

449        SiKA, cUqA, agraM; Siras                 Apex,@               {%s.%}

450        sUtraM, vacanaM                          Aphorism,@           {%s.%}

451        maDumakzikA-karaMqaH -ADAraH-            Apiary,@             {%s.%}

452        ekEkaSaH, pfTak pfTak, ekEkaM            Apiece,@             {%adv.%}

453        saMdigDapramARa                          Apocryphal,@         {%a.%}

454        upakaTA, upAKyAnaM                       Apologue,@           {%s.%}

